Sample.ID,host glycan,fructan
Li32159_S36_Metabat2_binout.92,0,0
Li32160_S37_Maxbin2out.018,0,0
Li32161_S38_Metabat2_binout.12,0,0
Li32161_S38_Metabat2_binout.47,0,0
Li32161_S38_Metabat2_binout.60,0,0
Li32161_S38_Metabat2_binout.93,0,0
Li32162_S39_Maxbin2out.005,0,0
Li32162_S39_Metabat2_binout.120,0,0
Li32162_S39_Metabat2_binout.36,0,0
Li32162_S39_Metabat2_binout.46,0,0
Li32162_S39_Metabat2_binout.60,0,0
Li32163_S40_Maxbin2out.006,0,0
Li32163_S40_Maxbin2out.028,0,0
Li32163_S40_Maxbin2out.032,0,0
Li32163_S40_Maxbin2out.038,0,0
Li32164_S41_Maxbin2out.007,0,0
Li32164_S41_Maxbin2out.028,0,0
Li32164_S41_Metabat2_binout.49,0,0
Li32165_S42_Maxbin2out.075,0,0
Li32165_S42_Maxbin2out.080,0,0
Li32165_S42_Metabat2_binout.30,0,0
Li32166_S43_Metabat2_binout.42,0,0
Li32166_S43_Metabat2_binout.71,0,0
Li32167_S44_Maxbin2out.011,0,0
Li32167_S44_Metabat2_binout.26,0,0
Li32167_S44_Metabat2_binout.42,0,0
Li32167_S44_Metabat2_binout.44,0,0
Li32168_S45_Maxbin2out.045,0,0
Li32168_S45_Metabat2_binout.62,0,0
Li32168_S45_Metabat2_binout.91,0,0
Li32169_S46_Metabat2_binout.48,0,0
Li32169_S46_Metabat2_binout.68,0,0
Li32170_S47_Maxbin2out.026,0,0
Li32170_S47_Maxbin2out.033,0,0
Li32170_S47_Metabat2_binout.44,0,0
Li32170_S47_Metabat2_binout.63,0,0
Li32170_S47_Metabat2_binout.93,0,0
Li32173_S50_Metabat2_binout.1,0,0
Li32174_S51_Maxbin2out.028,0,0
Li32175_S52_Metabat2_binout.56,0,0
Li32176_S53_Maxbin2out.029,0,0
Li32176_S53_Maxbin2out.042,0,0
Li32176_S53_Metabat2_binout.27,0,0
Li32176_S53_Metabat2_binout.34,0,0
Li32177_S54_Metabat2_binout.117,0,0
Li32177_S54_Metabat2_binout.46,0,0
Li32177_S54_Metabat2_binout.57,0,0
Li32177_S54_Metabat2_binout.60,0,0
Li32177_S54_Metabat2_binout.66,0,0
Li32177_S54_Metabat2_binout.86,0,0
Li32178_S55_Metabat2_binout.14,0,0
Li32179_S56_Maxbin2out.002,0,0
Li32179_S56_Maxbin2out.053,0,0
Li32179_S56_Maxbin2out.074,0,0
Li32179_S56_Metabat2_binout.107,0,0
Li32179_S56_Metabat2_binout.109,0,0
Li32179_S56_Metabat2_binout.122,0,0
Li32179_S56_Metabat2_binout.125,0,0
Li32179_S56_Metabat2_binout.19,0,0
Li32179_S56_Metabat2_binout.97,0,0
Li32180_S57_Metabat2_binout.12,0,0
Li32180_S57_Metabat2_binout.120,0,0
Li32181_S58_Maxbin2out.013,0,0
Li32181_S58_Maxbin2out.026,0,0
Li32181_S58_Metabat2_binout.11,0,0
Li32181_S58_Metabat2_binout.79,0,0
Li32183_S60_Metabat2_binout.101,0,0
Li32183_S60_Metabat2_binout.83,0,0
Li32184_S61_Metabat2_binout.13,0,0
Li32184_S61_Metabat2_binout.24,0,0
Li32184_S61_Metabat2_binout.66,0,0
Li32184_S61_Metabat2_binout.82,0,0
Li32184_S61_Metabat2_binout.87,0,0
Li32185_S62_Maxbin2out.008,0,0
Li32185_S62_Maxbin2out.013,0,0
Li32185_S62_Maxbin2out.022,0,0
Li32185_S62_Maxbin2out.047,0,0
Li32185_S62_Metabat2_binout.69,0,0
Li32185_S62_Metabat2_binout.77,0,0
Li32185_S62_Metabat2_binout.95,0,0
Li32186_S63_Maxbin2out.029,0,0
Li32186_S63_Maxbin2out.041,0,0
Li32186_S63_Metabat2_binout.31,0,0
Li32187_S64_Maxbin2out.044,0,0
Li32187_S64_Metabat2_binout.68,0,0
Li32187_S64_Metabat2_binout.74,0,0
Li32188_S65_Metabat2_binout.42,0,0
Li32188_S65_Metabat2_binout.47,0,0
Li32189_S66_Metabat2_binout.117,0,0
Li32189_S66_Metabat2_binout.87,0,0
Li32190_S67_Metabat2_binout.8,0,0
Li32191_S68_Maxbin2out.030,0,0
Li32193_S70_Metabat2_binout.55,0,0
Li32194_S71_Metabat2_binout.45,0,0
Li32195_S72_Metabat2_binout.59,0,0
Li32195_S72_Metabat2_binout.73,0,0
Li32195_S72_Metabat2_binout.83,0,0
Li32196_S73_Metabat2_binout.17,0,0
Li32197_S74_Maxbin2out.009,0,0
Li32197_S74_Metabat2_binout.12,0,0
Li32197_S74_Metabat2_binout.84,0,0
Li32198_S75_Metabat2_binout.133,0,0
Li32199_S76_Metabat2_binout.118,0,0
Li32200_S77_Maxbin2out.010,0,0
Li32200_S77_Maxbin2out.050,0,0
Li32200_S77_Metabat2_binout.1,0,0
Li32201_S78_Maxbin2out.023,0,0
Li32201_S78_Metabat2_binout.1,0,0
Li32203_S80_Maxbin2out.014,0,0
Li32203_S80_Maxbin2out.019,0,0
Li32203_S80_Metabat2_binout.13,0,0
Li32203_S80_Metabat2_binout.58,0,0
Li32203_S80_Metabat2_binout.64,0,0
Li32203_S80_Metabat2_binout.70,0,0
Li32205_S82_Maxbin2out.020,0,0
Li32205_S82_Maxbin2out.026,0,0
Li32205_S82_Metabat2_binout.117,0,0
Li32205_S82_Metabat2_binout.58,0,0
Li32205_S82_Metabat2_binout.75,0,0
Li32205_S82_Metabat2_binout.83,0,0
Li32206_S83_Maxbin2out.043,0,0
Li32206_S83_Metabat2_binout.117,0,0
Li32206_S83_Metabat2_binout.30,0,0
Li32206_S83_Metabat2_binout.40,0,0
Li32206_S83_Metabat2_binout.6,0,0
Li32206_S83_Metabat2_binout.77,0,0
Li32206_S83_Metabat2_binout.89,0,0
Li32207_S84_Maxbin2out.037,0,0
Li32207_S84_Maxbin2out.046,0,0
Li32207_S84_Metabat2_binout.101,0,0
Li32207_S84_Metabat2_binout.16,0,0
Li32207_S84_Metabat2_binout.52,0,0
Li32131_S8_Metabat2_binout.70,1,2
Li32203_S80_Metabat2_binout.8,1,2
Li32205_S82_Metabat2_binout.96,1,2
Li32185_S62_Maxbin2out.027,1,2
Li32188_S65_Maxbin2out.019,1,2
Li32146_S23_Metabat2_binout.105,1,1
Li32148_S25_Metabat2_binout.46,1,1
Li32153_S30_Metabat2_binout.112,1,1
Li32155_S32_Metabat2_binout.56,1,1
Li32157_S34_Maxbin2out.013,1,1
Li32158_S35_Maxbin2out.029,1,1
Li32161_S38_Maxbin2out.057,1,1
Li32170_S47_Metabat2_binout.3,1,1
Li32174_S51_Metabat2_binout.99,1,1
Li32176_S53_Metabat2_binout.60,1,1
Li32185_S62_Metabat2_binout.81,1,1
Li32188_S65_Metabat2_binout.2,1,1
Li32191_S68_Metabat2_binout.47,1,1
Li32195_S72_Metabat2_binout.7,1,1
Li32196_S73_Maxbin2out.046,1,1
Li32199_S76_Maxbin2out.013,1,1
Li32206_S83_Metabat2_binout.124,1,1
Li32207_S84_Metabat2_binout.79,1,1
Li32125_S2_Metabat2_binout.89,1,0
Li32126_S3_Metabat2_binout.127,1,0
Li32127_S4_Metabat2_binout.131,1,0
Li32127_S4_Metabat2_binout.55,1,0
Li32128_S5_Metabat2_binout.14,1,0
Li32129_S6_Metabat2_binout.40,1,0
Li32130_S7_Metabat2_binout.27,1,0
Li32131_S8_Metabat2_binout.13,1,0
Li32131_S8_Metabat2_binout.44,1,0
Li32131_S8_Metabat2_binout.89,1,0
Li32132_S9_Metabat2_binout.109,1,0
Li32132_S9_Metabat2_binout.16,1,0
Li32134_S11_Maxbin2out.008,1,0
Li32134_S11_Maxbin2out.025,1,0
Li32134_S11_Metabat2_binout.63,1,0
Li32135_S12_Maxbin2out.006,1,0
Li32135_S12_Metabat2_binout.15,1,0
Li32136_S13_Maxbin2out.063,1,0
Li32136_S13_Metabat2_binout.4,1,0
Li32137_S14_Metabat2_binout.62,1,0
Li32140_S17_Maxbin2out.011,1,0
Li32142_S19_Metabat2_binout.103,1,0
Li32142_S19_Metabat2_binout.54,1,0
Li32142_S19_Metabat2_binout.89,1,0
Li32143_S20_Maxbin2out.004,1,0
Li32143_S20_Metabat2_binout.55,1,0
Li32144_S21_Metabat2_binout.32,1,0
Li32144_S21_Metabat2_binout.7,1,0
Li32144_S21_Metabat2_binout.76,1,0
Li32144_S21_Metabat2_binout.87,1,0
Li32145_S22_Metabat2_binout.129,1,0
Li32145_S22_Metabat2_binout.55,1,0
Li32146_S23_Metabat2_binout.52,1,0
Li32146_S23_Metabat2_binout.77,1,0
Li32147_S24_Metabat2_binout.155,1,0
Li32147_S24_Metabat2_binout.96,1,0
Li32147_S24_Metabat2_binout.98,1,0
Li32148_S25_Maxbin2out.062,1,0
Li32149_S26_Metabat2_binout.114,1,0
Li32149_S26_Metabat2_binout.12,1,0
Li32150_S27_Maxbin2out.025,1,0
Li32150_S27_Metabat2_binout.82,1,0
Li32151_S28_Maxbin2out.081,1,0
Li32151_S28_Metabat2_binout.121,1,0
Li32151_S28_Metabat2_binout.156,1,0
Li32151_S28_Metabat2_binout.54,1,0
Li32151_S28_Metabat2_binout.89,1,0
Li32152_S29_Metabat2_binout.33,1,0
Li32153_S30_Metabat2_binout.63,1,0
Li32153_S30_Metabat2_binout.76,1,0
Li32154_S31_Maxbin2out.037,1,0
Li32155_S32_Maxbin2out.009,1,0
Li32157_S34_Maxbin2out.033,1,0
Li32157_S34_Metabat2_binout.27,1,0
