clade_name,Li32124_S1,Li32125_S2,Li32126_S3,Li32127_S4,Li32128_S5,Li32129_S6,Li32130_S7,Li32131_S8,Li32132_S9,Li32133_S10,Li32134_S11,Li32135_S12,Li32136_S13,Li32137_S14,Li32138_S15,Li32139_S16,Li32140_S17,Li32141_S18,Li32142_S19,Li32143_S20,Li32144_S21,Li32145_S22,Li32146_S23,Li32147_S24,Li32148_S25,Li32149_S26,Li32150_S27,Li32151_S28,Li32152_S29,Li32153_S30,Li32154_S31,Li32155_S32,Li32156_S33,Li32157_S34,Li32158_S35,Li32159_S36,Li32160_S37,Li32161_S38,Li32162_S39,Li32163_S40,Li32164_S41,Li32165_S42,Li32166_S43,Li32167_S44,Li32168_S45,Li32169_S46,Li32170_S47,Li32171_S48,Li32172_S49,Li32173_S50,Li32174_S51,Li32175_S52,Li32176_S53,Li32177_S54,Li32178_S55,Li32179_S56,Li32180_S57,Li32181_S58,Li32182_S59,Li32183_S60,Li32184_S61,Li32185_S62,Li32186_S63,Li32187_S64,Li32188_S65,Li32189_S66,Li32190_S67,Li32191_S68,Li32192_S69,Li32193_S70,Li32194_S71,Li32195_S72,Li32196_S73,Li32197_S74,Li32198_S75,Li32199_S76,Li32200_S77,Li32201_S78,Li32202_S79,Li32203_S80,Li32204_S81,Li32205_S82,Li32206_S83,Li32207_S84
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB9537|s__GGB9537_SGB14940,0,0,0,0.00127,0,0,0.00057,0.01999,0.01591,0.00384,0,0,0,0,0,0,0,0.01139,0,0,0.00498,0.04487,0.00586,0.08326,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0.00722,0.00032,0.00274,0,0,0,0,0,0,0,0,0,0,0.00461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566,0,0,0,0,0,0,0,0,0,0,0.00194,0.00128,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9620|s__GGB9620_SGB15068,0,0,0,0.00118,0,0,0,0.00368,0.00359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0.01614,0.01623,0,0,0,0,0,0,0,0,0,0.00198,0.00281,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_AF21_14LB,0,0,0,0.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09411,0,0,0,0.13844,0.05234,0.02814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004|g__GGB58158|s__GGB58158_SGB79798,0,0,0,0.00101,0,0,0.00116,0.00048,0.00063,0,0,0,0,0,0,0,0,0,0.02252,0.01586,0.00502,0.0023,0.00229,0.00206,0.0143,0.02609,0.00835,0.00321,0,0.01246,0.0027,0.00134,0,0,0.00572,0,0,0,0,0,0,0,0.01146,0.01656,0.00098,0.00835,0.0034,0.00332,0.00212,0,0,0,0,0.00104,0,0.00044,0,0.00017,0,0.00449,0.02911,9.00E-05,0,0.0019,0.00038,0,0.00075,0,0.01471,0.00765,0.0059,0.00143,0,0.00519,0,0,0.01183,0.01084,0.00267,0,0.00797,0.01441,0.00834,0.00952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q3526,0,0,0,0.0009,0.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05075,0.08764,0.12511,0,0,0,0,0,0,0.16973,0.16324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01453,0.0113,0.0058,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB79395|s__GGB79395_SGB105947,0,0,0,0.00086,0,0,0,0,0,0,0,0,0.01102,0.00332,0.00585,0.00476,0.0267,0.01757,0,0,0,0.00516,0,0.00431,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_Marseille_P3244,0,0,0,0.00081,0.00245,0.00055,0.00215,0.00101,0.00138,0.00068,0,0,0,0,0,0,0,0,0.00872,0.02352,0.03293,0.00137,0.00137,0.00022,0.00169,0.0041,0.00142,0.00041,0,0,0.00032,0,0.00461,0,3.00E-05,0,0,0.00066,0.00113,0.00088,0,0.00413,0.00693,0.00817,0,0,0,0.00341,0.006,0.00861,0.00227,0.00224,0.00945,0,0.00079,0,0,0.00123,0.00143,0,0,0.00041,0,0.00115,0.00015,0,0,0.00119,0,0,0,0,0,0,0.00283,0.0048,0,0,0.00655,0,0.0015,0.01112,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_constellatus,0,0,0,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628|f__FGB45628|g__GGB45613|s__GGB45613_SGB63326,0,0,0,0.0005,0.00195,0,0,0.00043,0.00161,0,0,0,0,0,0,0,0,0,0.01176,0.02153,0.00677,0,0.00232,0.0007,0,0.00254,0.00061,0,0,0.01265,0,0.00125,0.00287,0,0,0,0,0,0,0,0,0.00129,0.00626,0.00382,0,0,0,0.00162,0.00265,0,0.01196,0.00667,0.02734,0,0,0,0,5.00E-05,0.00027,0.00107,0.00391,0.0096,0,0.0016,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00615,0,0.01464,0.04442,0.00046,0.00029
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_sanguinis,0,0,0,0.00035,0.01692,0,0.01767,0.01677,0,0,0,0,0,0,0,0,0,0,0.00217,0,0,0.03008,0.00037,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03591,0.03399,0,0.89049,0,0,0,0,0.00748,0,0,0,0,0,0.00273,0,0.00741,0.00166,0,0,0,0,0,0.00013,0,0,0.05516,0,0,0,0,0,0,0,0,0,0,0.02235,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_methylpentosum,0,0,0,0.00033,0,0.00804,0,0,0,0,0,0,0.00107,0,0,0.00223,0.00274,0.00645,0.00031,0.00055,0.00149,0.00228,0,0.00214,0.00139,0.00124,0.00139,0.00777,0,0.01788,0.0003,0.00047,0.00094,0,0,0,0,0,0.00014,0,0,0.00082,0.00556,0.00103,0.0016,0.00104,0.00411,0,0,0,0,0,0,0,0,0,0,0.00043,0.0044,0.00036,0.00774,0.00079,0,0,0,0,0,0,0.01179,0.00776,0.00324,0,0,0.00152,0.00371,0.00174,0.02824,0,0,0,0,0.0063,0.00469,0.00025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_PC13,0,0,0,0.00022,0.00129,0,0,0.00112,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0.00549,4.00E-05,0,0,0,0,0.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289,0.00023,0.00473,0,0,0,0,0.00043,0,0,0,0,0,0.00374,0,0,0,0,0.00343,0.00143,0.00057,0,0,0,0.00102,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii|t__SGB4285,0,0,0,9.47915,0,6.45381,4.20326,3.35305,4.5335,0,0.02633,0,0,0,0,4.90787,1.81293,5.48183,0.04894,0,1.95608,5.0255,2.85555,2.25288,3.12736,8.64931,5.09735,0,1.2727,0.04948,4.58452,4.85673,8.98782,0,6.65127,0.27789,2.27979,0.09575,0.0036,0,0,6.80254,6.73164,0.88271,0.25972,2.46141,4.22475,1.29092,2.99661,0,9.47777,0,0,1.58802,0.4722,2.12677,6.03975,9.79159,5.08116,1.69485,0.52203,0.80251,8.57086,4.55287,6.87356,3.56875,3.02346,7.08511,0,0,0,0,0,0,5.98008,3.88863,0,0,9.32893,0.00389,2.4463,12.23136,3.25049,2.06446
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__SGB9226,0,0,0,6.07353,0.97852,0,21.63935,1.82279,0,3.91534,1.48944,3.40842,0,0,0,0.22595,0.33854,1.33966,0.00272,0.00021,0,5.38369,5.84596,3.41729,3.58427,6.02459,14.20289,0,0,0,0,0,0,0.25032,2.25233,0,0,0.67811,0.74857,0,0,0,0,0,0,0,0,0.57729,0.64977,0.06614,0,0,0,0,0,0,0,0,0,0,0,0,0.0976,0.85599,0.17404,0,0,0,0,0,0,0,0,0,0.05994,0.05968,0,2.36629,2.4073,26.4044,0,0,6.21735,4.92629
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_porci|t__SGB6796,0,0,0,3.53256,4.74706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10302,0.41511,1.19159,0.85218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149|t__SGB15091,0,0,0,2.43459,0.32492,0.1269,0.06988,0.05106,0.37538,0,0,0,0,0,0,0,0,0,0.00787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553,0.06404,0,0,0.14024,0.08555,0.02639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10218,0.13377,0.20097,0,0,0,1.59466,6.62682,2.12774,0.01642,1.79353,0.40765,0,0,0,0,0,0,0.04446,0,0.47329,0.06773,0.44727,0,0,1.64281,0.47074,1.51071,2.90693,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254,0,0,0,2.32539,1.39068,0.55576,0.01404,0.04497,0.97783,0,0,0,0,0,0,0,0,0,0.0062,0,0,0.41974,0.60447,0.57438,0.95667,1.5312,0.98878,1.26638,1.21078,0.00076,0,0.00055,0,0.06815,0.13304,0,0,1.68353,1.05697,1.11241,1.37275,0,0,0,0,0,0,0.3283,0.69761,0.95176,0,0,0,0.4942,1.17073,0.30662,0.37729,0.66693,0.37108,0,0,0,0.22004,1.1254,0.72014,0.52403,0.60708,0.07302,0,0,0,0,0,0,0.731,0.12786,0.215,0.3177,0,0,2.80333,2.79288,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3277|s__GGB3277_SGB4327|t__SGB4327,0,0,0,2.22182,1.35039,0,0,0,0,0,0,0,0.8018,0.00812,0,1.92843,1.036,2.25405,0,0,0,0.28333,0,0.65232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04525,0,0,0,0.84818,0.56361,1.08503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40152,2.94385,3.22197,0,0,0,0,0,0,0,0,0,0,0,0.04201,0.0403,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_callidus|t__SGB4420,0,0,0,2.17845,0,0,0.01349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85095,0.10789,2.40506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15260|t__SGB15260,0,0,0,1.74833,0.20842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39199,0.15079,0.55652,0,0,0,0.14469,0.24234,0.00288,0,0,0,0,0,0,0,0.02754,0.01521,0.03686,0.11554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02112,0.03028,0.02624,0,0,0,0.02086,0.05387,0.03695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64708,0.29462,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248,0,0,0,1.68726,2.51089,0,0,0,0,1.60724,0.63453,1.95808,0.64204,0.88316,0.36382,2.43664,1.9735,0.73941,0,0,0,0.2101,2.411,1.46566,0,0,0,0,0,0,0.99296,1.43605,1.50355,0.23122,0.40819,0,0,0.92626,1.24341,0.56055,0.96519,0.05982,0.28673,0.53965,0.19829,4.53867,0.00847,1.39962,0.73999,1.5871,1.1173,1.03679,2.44369,0.01246,0.22435,0,0,0,0,0,0,0,1.83912,0.87743,0.84843,0,0,0,0,0,0,0,0,0.00371,1.00167,1.51569,0,0,2.05459,18.27672,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__SGB4547,0,0,0,1.53364,2.10686,0,0.06878,0.00701,0.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96143,0.51579,0.1949,0.95464,0.20823,0.82338,1.36867,0,0,0,0.91909,0.56613,0.31307,0,0,0,0,0,0,0,0,0,0,0,0,2.936,0.54494,1.30005,0.04505,0.0094,0.21159,0,0,0,0,0,0,3.11389,3.76502,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AF34_35BH|t__SGB5051,0,0,0,1.26469,2.16333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0.00049,0.01027,0,0,0,0,0,0,0,0,0.06738,0.07593,0,0,0,0,0.25448,0.27171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04594,0.00553,0.08893,0.23658,0,0,0,0,0,0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__SGB1829,0,0,0,1.15093,5.17711,0,0.23368,2.76711,3.00435,0,0.02121,0,0,0,0,3.18916,2.29598,7.90338,0.32482,2.37544,0.18989,0,0,0,0,0,0,0.24272,0.28863,0.00527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18037,1.06036,2.26568,0,0,0,0,0,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0,0,6.09197,5.08792,0.00304,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15318,0,0,0,1.1331,4.78355,0,0.1469,0.50346,0.56388,0,0,0,1.96223,3.68729,1.27258,0,0,0,0.00474,0,0,0.77855,0.53764,1.10918,0,0,0,1.41002,0.13065,2.82462,0,0,0,3.22402,1.72941,0.00072,0,1.74938,2.57929,2.46704,0.70904,0.95291,0.52205,1.1812,2.76797,2.84206,1.48718,1.89158,1.45133,2.06036,1.94825,2.27862,0.15353,0.61939,3.47361,0.31627,3.50439,4.35382,8.80661,2.20196,4.07106,1.44324,1.66081,3.03827,2.66338,0.65417,0.06987,0.00494,1.45466,4.20797,2.33556,2.35984,2.72315,5.97897,6.17934,7.52744,1.07707,1.81004,0.199,0.45708,0,0.08068,0,0
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988|g__GGB9361|s__GGB9361_SGB14336|t__SGB14336,0,0,0,1.06975,2.3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47679,0.10879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.00126,0,0,0,0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__SGB2295,0,0,0,0.79125,1.31288,0,0.07402,0.07193,0.18935,3.07066,1.11484,2.09293,2.37995,1.77027,2.23637,0.3011,0.81433,0.84223,0.00501,0,0,0.95524,1.43859,1.05026,0.06508,0.11701,0.05164,0.29184,1.27537,0.12519,0.03158,0.12454,0,0.00101,0.39046,3.0108,9.08996,0.34142,0.01996,0.05125,0.25056,0,0,0,0,0,0,0,0,0,0,0,0,0.4695,0.92217,1.44934,0,0,0,0.39536,0.32176,0.81699,0.01889,1.12038,0.45736,0.21635,0.61671,0.00183,0,0,0,0.54861,0.26661,0.51053,0.61984,0,0.32173,0.14736,0.27712,0.25339,0.14419,0.07483,0.13071,1.41711
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__SGB14535,0,0,0,0.66474,0.52229,0.07794,0.91402,0.47645,0.6001,1.6239,0.93769,1.32506,0,0,0,0.95609,1.06236,1.82539,0.00115,0,0,0,0,0,4.1282,1.83805,0.83288,0.40338,0.07403,0,0.71489,1.11593,2.18136,0,0.44807,0,0,0,0,0,0,0.21603,0.87588,0.22852,0,0,0,2.3298,1.4396,2.46349,0,0,0,2.21587,0.80069,1.45528,1.50968,1.12853,2.37309,0,0,1.45693,0,0,0,0,0,0,0.95642,1.20101,1.0006,0,0,0,1.35472,1.12564,0,0,1.27909,4.2536,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella_SGB4587|t__SGB4587,0,0,0,0.63935,1.33108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05458,0,0.09297,2.39111,0,0,0,0.00074,0,0.02083,0,0,0,0,0,0.00184,0,0,0.00899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__SGB1965,0,0,0,0.52085,0.60364,0,0.1233,0.27185,0.24754,0,0,0,0,0,0,0.05533,0.23687,0.35817,0.05632,0.86368,0.23589,0,0,0,0,0,0,1.0681,2.76673,1.06454,0,0,0,0.00036,0.06489,2.51829,3.34697,0.01178,0,0,0,0.58399,0.81639,2.14716,0,0,0,0.12767,0.28566,0.30668,0,0,0,0.39279,0.45458,0.65911,0,0,0,0,0.58316,4.18023,0.00115,0.81127,0.23443,0,0,0,0,0,0,2.22108,1.13639,1.06877,0,0,1.95149,0.89075,0.9899,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis|t__SGB6148,0,0,0,0.50489,0.02478,0,0.20131,0,0,0,0,0.00295,0,0,0,0,0.00138,0,0.01701,0,0,0.03019,0.00048,0.03867,0,0,0.0856,0.00368,0.02328,0,0.00913,0.04716,0.06388,0.0617,0.00868,0.00938,0,0.00018,0.00223,0.00581,0.00399,0.00985,0,0.00038,0.20815,0,0.10543,0.04643,0.04258,0.07278,0.6383,0.22178,0.14569,0,0,0.00038,0.42574,0.27808,0.14511,0.11371,0.09772,0.01598,0.19974,0.1188,0.15729,0.15724,0.01768,0.46769,0.00452,0,0,0.01742,0.39341,0.17917,0.01094,0.02206,0.00752,0,0.01532,0,0.16517,0.00866,0.04818,0.00056
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__SGB1949,0,0,0,0.4828,0.84057,0.42883,0,0,0,1.59452,2.0662,1.9908,0,0,0,0,0,0.00475,0.04796,0.34798,0.21038,0.68113,1.12258,0.37021,0.03464,0.07529,0.08648,0.18718,0.28797,0.41179,2.18304,3.54221,0.05253,0.01291,0.31071,0,0,1.34191,0.16228,0.31437,0.22295,0,0,0,1.01446,0.74686,0.63903,0.10456,0.3429,0.37798,0,0,0.83746,0,0,0,0,0,0,0.55615,0.18086,0.7912,0.01866,0.85276,0.36398,0.54349,0.9266,0.00051,0,0,0,0,0,0,0.42565,0.33144,0,0,0.52732,0,0.10996,0.0377,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__SGB14797,0,0,0,0.47375,0.33304,0,0.05713,0.09109,0.11591,0,0,0,0.27733,0.12784,0.03181,0,0,0,0.03903,0.06762,0.31067,0.42578,0.09993,0.13281,1.35883,0.61197,0.48361,0.29755,0.07611,0.50458,0.12428,0.10299,0.50482,0.06673,0.01556,0,0,0.03942,0.24615,0.09666,0.05783,0,0,0,0,0.0138,0.01733,0.26507,0.08999,0.20408,0,0,0,0.24713,0.0493,0.27448,0,0,0,0,0,0.02276,0.0356,0.086,0.09753,0.08055,0.06804,0.12651,0.37764,0.3258,0.2781,0,0,0,0.06717,0,0,0,0.11156,0,0.4742,0.44696,0.17172,0.0302
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_intestinalis|t__SGB6754,0,0,0,0.46069,0.33739,1.18535,0.02838,0.01072,0.03316,0.31195,0.53773,0.54219,0,0,0,0,0,0.00193,0.22798,0.37062,3.94193,0.82288,0.66894,1.75826,1.70262,0.86428,1.33086,0.62889,0.1488,0.94663,0,0,0,0,0,0.5484,0.08898,0.00484,0,0.00235,0.02238,0,0,0,0,0,0,0.28679,0.26304,0.27309,0,0,0,0.68757,0.76132,2.42481,0.3271,0.44051,0.35279,0,0,0,0.29941,0.31407,0.31739,3.16606,1.10856,5.86885,0,0,0,0,0,0,1.4027,0.64092,0.86955,0.25837,0,0,0.25356,0.13239,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM49_4BH|t__SGB4652,0,0,0,0.43975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52214,0.28964,0.6973,2.70784,0.64313,1.10879,0.00803,0.5862,0,0.00225,0,0,0.00134,0,0,0,0.00158,0,0,0,0,0,0,0,0.00649,0.02621,0.62387,0.30373,0.02895,0,0,0,0,0,0,0.16293,0.15447,0.82108,0.01585,1.03525,0,0.25653,0.20941,0.49994,0.38622,0.15895,0.61986,0.77761,0.25865,0.06846,0,0,0,0,0,2.33622,0,0,0,0,0,0.46455,1.40701
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__SGB2303,0,0,0,0.38539,0.07179,0,0.58877,2.74385,0.61483,0,0.0218,0,0,0,0,0.02659,0.29799,0.99318,0.24676,4.13048,0.60344,4.58711,1.76839,0.6418,0.15434,0.16677,0.0858,0.25808,0.56219,0.22774,0.85467,2.08321,0.02787,0.08976,0.09077,0,0,0.12609,0.05115,0.11077,2.02191,0,0,0,0.83216,3.05286,1.68168,0.77642,1.82485,4.44629,0,0,0,0.0189,0.01729,0.05396,0,0,0,6.10146,6.78788,10.07473,0,0.2427,0.05529,0.17745,0.57295,0,2.07437,2.26461,1.65065,0.0179,0.2107,0.84611,0.07069,0.02596,2.33534,0.89357,1.78864,0,0.15302,0.09039,0.98101,11.32087
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp_ET69|t__SGB5785,0,0,0,0.36285,0.60627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12992,0.20685,0.25338,0,0,0,0,0,0,0,0,0,0,0.01087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02095,0.66921,0.17419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15097|t__SGB15097,0,0,0,0.31862,0.00333,0,1.34322,1.77534,1.57212,0,0.01153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974,0.05251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Lentihominibacter|s__Lentihominibacter_faecis|t__SGB3957,0,0,0,0.30978,0.12869,0,0.14905,0.06984,0.11783,0,0,0,0,0,0,0,0,0,0.28703,0.1882,0.31319,0.0959,0.03556,0.13756,0.21736,0.11447,0.07587,0.18942,0.1462,0.20278,0.04898,0.08684,0.28607,0.03231,0.04253,0,0,0.12192,0.21531,0.07699,0,0,0,0,0,0,0,0.15212,0.07095,0.30639,0,0,0,0.07114,0.07152,0.0782,0.04136,0.08063,0.3613,0.07575,0.27592,0.09061,0.05072,0.08733,0.0595,0.02693,0.09426,0.58536,0.19424,0.10635,0.22605,0,0,0,0,0,0.05107,0.04541,0.13384,0.01713,0.3273,0.8274,0.39788,0.09486
