clade_name,Li32124_S1,Li32125_S2,Li32126_S3,Li32127_S4,Li32128_S5,Li32129_S6,Li32130_S7,Li32131_S8,Li32132_S9,Li32133_S10,Li32134_S11,Li32135_S12,Li32136_S13,Li32137_S14,Li32138_S15,Li32139_S16,Li32140_S17,Li32141_S18,Li32142_S19,Li32143_S20,Li32144_S21,Li32145_S22,Li32146_S23,Li32147_S24,Li32148_S25,Li32149_S26,Li32150_S27,Li32151_S28,Li32152_S29,Li32153_S30,Li32154_S31,Li32155_S32,Li32156_S33,Li32157_S34,Li32158_S35,Li32159_S36,Li32160_S37,Li32161_S38,Li32162_S39,Li32163_S40,Li32164_S41,Li32165_S42,Li32166_S43,Li32167_S44,Li32168_S45,Li32169_S46,Li32170_S47,Li32171_S48,Li32172_S49,Li32173_S50,Li32174_S51,Li32175_S52,Li32176_S53,Li32177_S54,Li32178_S55,Li32179_S56,Li32180_S57,Li32181_S58,Li32182_S59,Li32183_S60,Li32184_S61,Li32185_S62,Li32186_S63,Li32187_S64,Li32188_S65,Li32189_S66,Li32190_S67,Li32191_S68,Li32192_S69,Li32193_S70,Li32194_S71,Li32195_S72,Li32196_S73,Li32197_S74,Li32198_S75,Li32199_S76,Li32200_S77,Li32201_S78,Li32202_S79,Li32203_S80,Li32204_S81,Li32205_S82,Li32206_S83,Li32207_S84
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified,1.69957,0.15058,1.28224,0.363,0.02034,0,0.17116,0.57049,0.27795,0.2405,0.26481,0.2845,0.81973,0.3379,0.63663,0.37051,0.26258,0.71569,4.78723,1.80067,2.08218,0.24902,0.0128,0.01819,0.18566,0.34451,0.37207,0.08407,0,0,0.34407,1.75499,0.02895,0.39044,0.30764,1.66735,0.51315,0,0,0,0,0.50668,1.47331,1.87286,1.07639,0.42136,2.19854,1.361,0.746,1.64057,0.40151,0.58646,1.49694,0.02101,0.00531,0.02685,0.19043,0.63065,0.57848,0.07689,0.19483,0.02259,0.00589,0.10766,0.05218,0.62702,0.19816,0.19132,0.0662,0.02128,0.06837,0,0,0,0,0,0.02703,0.03415,0.49493,0.0079,0.29606,1.2034,0.22559,0.05493
k__Bacteria|p__Firmicutes|c__CFGB2880,1.24247,0.00235,1.71561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88201,0.70294,0.92858,1.26107,0.86388,1.01402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44782,0.57802,0,0,0,0,0,0.02561
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.74074,0.44601,0.08788,0.04278,0.37241,0.13262,0.17371,1.26501,0.85657,0.70836,0.94682,1.3705,0.34992,0.38394,0.42209,0.60887,0.46891,0.20932,0.04496,0.33923,0.00431,0.10438,0.16958,0.13158,0.02862,0.0122,0.06564,0.03219,0.15925,0.05175,0.12211,2.07686,0.01941,0.02047,0.6738,4.57712,1.64738,0.25882,0.02424,0.05359,0.03552,0.43419,1.0376,3.31473,1.96644,0.76956,1.68232,0.46174,0.98317,0.2613,0.27703,1.42237,0.59556,0.10159,0.82471,0.38134,1.16186,0.26606,0.03521,1.55946,0.33844,1.73051,0.03979,0.42579,0.14083,0.14418,1.54493,0.00121,0.73644,0.3161,0.08885,0,0.16576,0.09422,0.02043,0.15428,0.49116,0.48553,0.17956,0.00544,0.14545,0.12511,0.05544,0.09165
k__Bacteria|p__Firmicutes|c__CFGB1765,0.73246,0,0,0.22093,0.00194,0,2.5119,1.8617,0.08017,0,0.00642,0,0,0,0,0.0446,0,0,0.00364,0,0,3.25781,3.15366,2.37338,0.01042,0.62755,1.14038,0.81187,1.33072,0.85063,0.08205,0.15796,0,0.26938,0,0,0,0.51288,0.55801,2.3036,0,0,0,0,0.06231,0.50551,1.05105,0,0.00105,0,0,0,0,3.55228,0.54571,10.19519,0,0,0,0,0,0.06938,0.12702,0.78297,0.07119,0.31698,0.00336,0,0,0,0,0,0,0,5.76348,1.42187,0.19921,0,0,0,0,0,0.07445,0.04326
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.45514,0.31114,0.15981,0.13362,0.21096,0,0.33159,0.39242,0.74091,0.39896,0.31921,0.47738,0.57085,0.45756,0.73935,0.47891,1.07403,1.34078,0.03513,0.22607,0.24758,0.56868,0.42319,0.3957,0.00181,0.00349,0,0.03065,0.14682,0.10494,0.08796,0.44393,0.00205,0.05749,0.24582,1.06689,0.39213,0.09591,0.05805,0.03718,0.03392,0,0.00439,0.001,0,0,0.0043,0,0,0,0.0438,0.16474,0.06075,0.55627,0.20523,0.35933,0.03028,0.00687,0,0.57896,1.22036,0.75092,0.00802,0.12997,0.20734,0.15183,0.30248,0.02462,0.48492,0.3202,0.28727,0.06449,0.25452,0.21657,0.00941,0,0.26801,0.27026,0.23668,0,0.46389,0.35007,0.13411,0.22471
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107,0.35974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01333,0,0.33277,0.658,0.3221,0,0,0.01254,0.00492,0.01372,0,0,0,0,0.03431,0,0,0,0,0,0,0,0,0,0,0.02291,0.05909,2.05662,0,0,0,0,0,0,0,0.01376,0.00547,0,0,0,0,0,0,0,0,0,0,0,0,0.38703,2.7988,0.50759,0,0,0,0,0,0.54847,0,0,0,0,0,0,0.01289
k__Bacteria|p__Firmicutes|c__Bacilli,0.2783,0.0584,0.24251,2.24996,0.43262,0.08182,5.66936,0.70742,0.02495,0.09713,0.13081,0.26364,1.89298,1.82288,1.40479,0.38015,0.15145,0.02369,0.69002,0.34068,5.40593,0.06058,0.05176,0.13394,0.50597,0.99042,0.69526,0.12882,0.0027,0.61521,1.22451,0.82824,2.23146,0.12418,0.05578,0.04972,0.03086,0.05912,0.45744,0.15437,1.76161,3.03926,4.46438,0.5126,2.45516,0.7934,0.57618,1.19228,0.86868,0.88051,23.23834,14.56915,8.65263,0.24688,0.14676,0.20718,0.12016,0.788,0.07401,0.01755,0.17877,0.09516,0.19471,0.24083,1.15075,0.63239,0.20479,2.36348,0.2779,0.53227,0.06531,0.02436,0.87223,0.03556,1.1951,0.2877,0.01215,0.0335,0.58013,0.91404,1.27747,3.18636,1.62249,0.09195
k__Bacteria|p__Firmicutes|c__CFGB3048,0.2433,0.11694,0.25788,0.15958,0.01484,0,0.07146,0.05745,0.08148,0.05042,0.06273,0.0941,0.03404,0.05305,0.01414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06134,0.04392,0,0,0.05419,0.14325,0.03027,0.05181,0.07549,0.03258,0.01171,0,0,0,0.01577,0.01413,0.02526,0,0,0,0.14804,0.02685,0.08584,0.0276,0.05108,0.07349,0,0,0,0.00837,0.02166,0.01032,0.02362,0.11401,0.01769,0,0,0,0,0,0,0.01092,0,0.23963,0.12687,0.02471,0.02433,0,0,0,0
k__Bacteria|p__Bacillota|c__Clostridia,0.1986,0.42677,0.36427,0.35089,1.17903,2.01191,0.11093,0.41692,0.17529,0.5104,0.56869,0.58876,1.51924,0.99457,1.08087,0.06625,0.03522,0.02562,0.24911,0.03981,0.04466,0.1969,0.9428,0.76219,0.82417,1.74344,1.21368,1.03762,0.64608,0.44721,0.89321,1.84295,4.76707,0.70536,0.28968,1.16571,0.44491,2.31036,3.42217,1.97302,2.37262,1.2568,3.06686,3.54938,0.04201,0.22135,0.15826,0.55594,1.10618,1.36197,0.34253,0.18662,0.041,0.6528,0.58435,0.44268,2.04734,3.00483,1.36182,1.28284,1.1458,1.27173,2.68115,1.88376,2.98019,0.12179,0.01067,0.62189,1.32507,1.80011,1.13914,0.76057,0.94411,0.90184,0.82983,1.84634,1.10029,1.74496,4.31168,7.45624,0.9146,1.64161,0.03873,0.14053
k__Bacteria|p__Firmicutes|c__CFGB1292,0.18038,0.05049,0.10202,0.24217,0.1996,0,0,0,0,0,0.0046,0,0,0,0,0.00207,0.00294,0.00336,0.16728,0.21698,0.20211,0.2208,0.05052,0.08488,0.00274,0.00443,0,0,0,0,0.00081,0.00183,0.00125,0.00071,0,0.07032,0.0944,0,0,0,0,0.03904,0.04795,0.03302,0.00068,0,0.00351,0.02527,0.03146,0.05484,0.03861,0.01272,0.10204,0.09462,0.06964,0.09887,0.04338,0.05453,0.09262,0.03316,0.09439,0.10193,0,0,0,0.00214,0,0.04492,0.11426,0.04704,0.06441,0,0,0.01309,0,0,0.03933,0.05429,0,0,0.00881,0.00731,0.06688,0.02004
