compound,OA01A,OA01B,OA01C,OA01D,OA02A,OA02B,OA02C,OA03A,OA04A,OA04B,OA04C,OA04D,OA05A,OA05B,OA05C,OA05D,OA06A,OA06B,OA06C,OA06D,OA07A,OA08A,OA08B,OA08C,OA08D,OA09A,OA09B,OA09C,OA09D,OA10A,OA10B,OA10C,OA10D,OA11A,OA11B,OA11C,OA11D,OA12A,OA12B,OA12C,OA12D,OA13A,OA13B,OA13C,OA13D,OA14A,OA14B,OA14C,OA14D,OA15A,OA17A,OA17B,OA18A,OA19A,OA19B,OA19C,OA20A,OA20B,OA20C,OA20D,OA21A,OA21B,OA22A,OA22B,OA23A,OA23B,OA23C,OA23D,OA24A,OA24B,OA24C,OA24D,OA25A,OA25B,OA25C,OA26A,OA26B,OA26C,OA26D,OA27A,OA27B,OA27C,OA27D,OA28A,OA28B,OA28C,OA29A,OA29B,OA29C,OA29D,OA30A,OA30B,OA30C,OA30D,OA31A,OA32A,OA33A,OA33B,OA33C,OA34A,OA34B,OA34C,OA35A,OA35B,OA35C,OA36A,OA36B,OA36C,OA37A,OA37B,OA37C,OA38A,OA39A,OA39B,OA39C,OA40A,OA40B,OA40C,OA41A,OA42A,OA42B,OA43A,OA44A,OA44B,OA44C,OA45A,OA45B,OA45C,OA46A,OA47A,OA48A,OA49A,OA50A,OA50B,OA51A,OA52A,OA53A,OA54A,MidBlank5,MidBlank5_20211106182526,MidBlank5_20211107140832,MidBlank5_20211107083353,MidBlank5_20211107175140,MidBlank5_20211107022718,MidBlank5_20211107213449,MidBlank5_20211107000008,MidBlank6,MidBlank6_20211107215045,MidBlank7,MidBlank7_20211107220641,MidBlank7_20211108003015,MidBlank7_20211107232625
4-PYRIDOXATE,7489.31,9266.5,10393.3,12785.22,4994.4,8919.75,5646.75,5535.64,7864.14,8269.06,8345.29,9983.23,7664.05,6377.29,6718.65,6444.89,4849.29,7088.82,5684.18,5281.91,32279.03,9933.64,6467.78,8183.04,7373.11,8082.18,9652.1,12932.06,15979.51,256674.88,7648.69,5331.91,8097.77,30571.16,11332.51,27082.57,17696.26,13107.15,8012.06,13410.87,8940.02,6468.84,6696.64,7487.99,8560.54,348600.72,244306.11,233236.11,111456.48,29001.24,10748.63,46622.53,7704,8579.23,14189.62,28906.29,7691.35,10587.18,10495.52,12668.86,32116.97,18086.74,3455.76,4408.93,8046.58,9083.66,8388.02,10250.85,7883.35,7389.23,7183.6,10757.2,6070.17,6249.63,6918.32,7026.38,6855.53,7622.69,23128.1,6771.07,8188.69,7998.99,9506.1,7111.34,7732.25,6723.23,9508.6,7061.29,11959.64,5705.03,10762.31,11370.89,16018.6,11508.84,5452.75,8011.3,4573.17,7756.08,5724.97,6426.3,6493.12,22156.12,10993.7,8339.87,8811.77,7789.44,8405.21,8233.51,5286.35,7532.39,5630.48,5679.28,7764.89,17205.48,43134.29,5937.55,7826.87,9787.3,6090.47,8163.95,4078.53,78273,10822.33,10736.27,16925.99,1282435.88,13363.6,10756.47,99924.87,21920.78,697104.81,69108.37,21459.02,12512.95,11234.98,7887.03,87558.09,14463.63,6228.27,4498.24,3542.71,4302.5,3434.5,3835.11,4837.01,5299.97,4369.89,4466.1,4205.83,4898.32,4232.99,5456.14
AZELAIC ACID,115559.45,199421.42,308210.34,5072362.5,125451.09,203123.98,301928.66,197307.81,187601.44,233512.77,523454.47,2342786,369538.91,154035.11,358011.78,3898296,217068.12,408085.34,191319.5,3501992.25,153364.81,200708.25,491038.22,352528.75,3132446,133469.41,274248.69,557429.38,3281741,483081.25,148304.25,219304.62,4561136.5,741983.31,312452.06,587734.19,3365641,270725.22,251023.55,477306.09,2274647.75,256051.8,274779.97,286563.47,1769169.5,192657.42,4449716,4230284.5,1256609.12,198454.42,163994.83,255560.05,154284.8,305443.25,536683.06,2162120,554805.19,243385.02,6653061.5,4081390.75,568613.44,193257.73,183507.3,347655.97,3660392,473265.78,2321277.75,2378292.75,4740232.5,243991.48,2281036.75,1159363.5,257053.08,3563512.75,1973622.88,300317.09,3124910.25,997709.69,1002013.75,157345.8,206873.31,3215072.25,3089816,442333.34,263656.16,3561060,251601.95,3543089.75,214799600,3061151.25,350427.59,3433846,2285403.75,4079406,250734.7,317969.38,4755907.5,2720563.75,1748748.38,125690.72,1842984.5,2726949.75,712940.06,2216786.75,4899818,254902.25,3544147.25,4713831.5,3471130,2572681.25,3719964.75,3060389,3222727.25,1266824,1429287.62,2113905.75,2154560.75,2479335.25,308860.97,4088660.75,3215325.75,5650528.5,364947.41,3034754,3754513.25,3457128,3626315,4495271.5,4521347.5,6261964,2394592.75,2955857,2598779.75,4423952.5,2490523.25,3782184,5534708,2847696,113313.75,100038.91,115178.77,84716.8,119454.01,115074.81,123852.27,99264.99,84080.74,109493.91,97032.49,115687.37,102045.98,168827.52
10-HYDROXYDECANOATE,164070.64,251295.45,181098.45,190975.92,87929.2,93775.59,131576.03,148185.94,75690.62,231644.67,99443.27,254318.98,157118.8,159445.36,88979.72,130063.5,111797.62,131927.17,124853.8,103606.4,84571.98,137169.11,120712.13,120024.4,157472.69,179389.48,86283.95,88741.44,100223.16,170118.48,177433.95,235559.94,92229.15,72659.56,65032.53,51375.04,108390.44,186402.33,130798.09,100511.25,111541.41,169356.52,113765.66,200838.05,112760.04,161478.14,156774.62,176177.77,147959.17,149622.59,80982.35,104323.37,112019.84,113814.59,78355.51,186032.06,135782.08,177844.83,184879.38,160132.2,106091.35,122861.52,166683.81,138679.59,212617.89,141479.69,209642.36,275209.22,111458.82,151301.17,146994.83,115429.49,116826.4,144150.58,141419.73,305057.41,198112.08,257281.95,364844.09,226046.5,102180.88,194230.92,113268.1,199319.14,176507.92,143218.72,146869.42,140196.81,144074.69,127658.25,135582.08,90082.4,149883.73,94740.96,203301.95,161750.5,152149.28,149034.11,254120.23,94583.96,127002.15,134749.55,138891.11,185785.25,226524.73,95975.06,127719.38,201717.2,217325.61,161235.16,119289.25,122680.45,341394.66,202158.5,256692.77,151192.27,183442.42,160466.31,413159.78,85723.24,131908.83,689747.62,191170.58,248547.36,243892.67,160474.27,123507.95,125817.52,105890.99,112352.98,454181.09,238329.88,164133.27,191873,88092.49,133377.64,528065.06,218062.23,26159.19,29576.32,29592.67,22555.64,36108.77,28117.19,47567.39,19774.66,29259.21,32414.06,28829.08,31361.98,24888.84,34414.89
D-GULONIC ACID GAMA-LACTONE,5049.95,1848.48,4117.53,25828.49,1574.98,6167.79,7483.14,1060.21,1247.96,1591.08,1568.17,4218.92,14780.73,6190.97,10766.29,20041.62,1366.64,3027.76,3000.05,2589.33,1007.32,3413.05,5797.97,2236.29,3344.41,1108.95,2218.24,3246.56,6692.12,1005.18,4061.93,1661.75,1405.66,1300.09,3226.69,55834.14,4462.64,93377.88,1314.86,4857,1121.53,6325.97,1096.55,8383.36,1613.72,1458.04,940.47,1375.31,1536.78,3422.35,1167.87,1271.66,4342.19,57319.12,2512.28,5057.12,1593.88,1704.38,1208.55,8199.67,1711.79,1771.35,2996.85,1304.55,4398.17,4330.77,1697.72,2075.82,2928.79,1471.84,1478.2,1645.93,2101.45,1687.7,5338.83,1680.49,4162.75,1145.76,2849.5,2882.6,1356.25,1265.77,1497.21,1352.86,4323.46,5150.43,3606.13,1399.56,19882.24,1476.75,1180.02,5620.12,41315.62,31443.05,6886.15,1599.11,1566.78,1769.33,1493.44,1111.49,3399.72,1745.49,8106.45,6443.39,1305.5,1087.93,2773.19,1368.14,3517.29,1158.97,4443.85,1884.88,1682.83,1445.45,1248.91,10970.57,1375.79,2213.57,1402.23,8946.7,2794.25,2386.39,2096.39,1800.88,5062.48,2937.64,3680.75,2422.01,3914.76,1684.35,1529.92,1451.99,2894.51,19074.85,3508.43,1151.67,1627.42,1963.18,0,0,842.15,0,875.23,0,0,0,0,687.39,1034.18,0,0,0
N6-[DELTA2-ISOPENTENYL]-ADENINE,1715.86,3965.18,7069.45,4506.94,1852.34,7545.72,7873.8,3357.17,4349.14,3297.74,10265.28,4645.92,5992.21,5077.41,7226.9,5975.99,2523.19,2530.73,2560.28,11223.78,3356.36,4729.23,9950.27,20682.91,6336.52,17918.9,49106.1,42294.01,10311.52,10915.52,6870.9,2503.59,9626.67,11003.27,24961.38,37652.12,17334.77,7127.24,5608.94,7248.63,5017.27,4057.42,3205.67,7378.42,7323.49,2377.53,5313.28,2353.08,5315.49,4264.12,17386.54,12648.06,5480.66,3604.6,6957.21,22938.43,6337.92,6729.35,11564.48,8191.73,10516.3,6731.54,2268.33,4574.81,6381.89,4660,11134.45,4152.91,1977.05,2871.9,1398.04,3818.71,7503.67,6411.62,10796.07,9800.65,7090.27,11961.71,4370.41,3527.26,9105.12,6371.08,4479.49,5424.31,11114.02,4510.05,4249.73,7320.2,4602.71,2757.11,8998.91,10201.78,3977.98,10117.49,2394.84,5796.58,3970.03,4720.67,3401.99,7402.74,8689.25,3237.91,7041.31,7211.17,2865.99,5532.49,14712.56,11074.95,3886.47,5226.89,6160.28,3127.87,2941.41,3544.63,3174.89,2583.83,4966.6,8051.36,8029.52,4681.16,8541.75,9261.77,6449.86,6089.64,3115.75,2574.2,6530.13,9360.93,8638.27,9225.04,4009.26,3756.21,1723.73,6076.96,3870.75,5162.87,5599.46,5360.45,1018.15,1089.62,668.48,868.92,934.63,774.57,903.12,0,736.57,922.37,1067.81,1062.07,1128.28,1063.06
L-TRYPTOPHAN,136157.55,112856.79,118639.85,123476.81,107903.37,171460.42,154553.75,137457.62,154185.75,176917.2,211939.52,146430.83,141788.94,167488.98,119650.7,165169.23,91092.84,111020.3,83897.84,180279.7,55261.32,165005.69,142761.23,190181.38,133333.83,78698.87,97120.16,69562.05,58180.14,123150.71,109284.29,56463.22,125815.18,161082.62,131137.38,162106.38,132330.39,104891.91,128320.16,119920.12,115809.32,134315.69,137587.14,136555.61,130267.52,100558.1,85735.54,103481.35,67871.79,122832.09,160921.17,99608.38,94548.55,128683.18,149486.88,209719.58,113056.68,125533.21,97922.91,131621.69,138830.47,131553.2,101608.85,110959.5,125970.43,115967.16,180177.25,109148.29,116534.12,121248.88,136056.08,119921.62,116486.04,106631.28,153515.23,105599.02,140596.64,112597.09,75399.17,84949.04,137137.2,92011.1,78872.25,140815.92,141362.95,171785.42,110705.1,76815.53,109334.81,93663.41,126772.09,184584.95,142660.77,127876.13,94359.75,133215.2,124351.29,115951.34,110401.03,89623.24,85251.34,122062.12,139363.06,108003.84,107936.96,148850.67,146901.75,121518.73,107132.23,123045.48,115913.44,102530.91,93163.46,106397.46,75280.87,158281.83,126663.27,119376.21,93292.35,89078.46,117919.98,92068.97,180881.48,148231.39,75823.01,103619.6,115475.62,150266.77,106401.87,80073.07,124110.93,92532.4,60920.22,109546.54,125471.94,129692.22,144554.02,87385.88,5844.98,3810.21,4884.02,4627.13,5221.53,5179.93,4135.59,4259.91,2700.48,1760.31,1576.07,609.66,5495.11,1085.27
OMEGA-HYDROXYDODECANOIC ACID,142467.92,173004.67,97839.09,117288.29,73494.98,48058.65,77645.01,77462.48,51685.2,175694.69,84471,219427.56,98140.6,101586.62,62859.47,72198.15,84486.41,78009.34,80402.59,65244.62,43454.25,65048.37,63724.55,85012.96,105782.16,89476.27,32722.92,44174.77,37983.96,83587.19,172545.62,171507.69,64119.96,35486.26,29623.49,45451.75,62960.61,158801.14,105586.81,57963.22,84722.64,118418.75,95421.77,202850.52,88364.79,86406.95,104929.29,119605.13,95861.62,145820.61,46344.54,76631.38,88547.38,70747.09,54329,129971.27,131458.17,130248.12,131454.3,133480.11,70487.43,96637.41,135203.39,81357.07,171159.55,161296.14,215658.12,277162.09,65794.79,95714.71,95618.06,60621.93,65613.6,89263.2,97352.44,142700.89,106123.71,155350.73,240001.52,195899.42,61776.25,147097.64,128847.88,127309.96,89095.12,105855.01,95817.27,100512.62,145461.39,78019.95,107007.87,58839.11,95048.84,77414.75,145894.44,105655.59,124827.72,136807.66,194394.5,45830.3,76635.23,78222.01,82491.18,93306.16,152705.55,46852.09,60773.41,109333.79,196316.64,126588.48,119965.62,126613.06,374993.62,209620.5,223994.95,116659.99,176816.14,110280.62,336394.34,79423.95,118101.28,386866.34,102833.38,127719.44,140428.45,159873.8,167544.38,78022.35,98933.31,86654.71,293284.41,204360.3,148068.52,145321.64,78989.84,65235.47,139977.81,166371.11,11460.24,18773.18,13549.5,14487.21,16150.52,16289.82,23729.19,17044.97,13407.9,14583.22,14046.56,13240.69,12143.77,15562.08
L-CYSTATHIONINE,0,681.96,682.78,647.72,0,0,435.94,768.16,0,1064.61,722.68,873.59,0,684.21,424.7,0,0,0,0,0,0,1805.91,992.13,680.82,0,0,3954.9,2058.12,941.1,0,0,344.19,499.23,3466.72,2815.88,3441.84,5049,0,503.59,0,1186.46,706.88,837.86,568.91,0,0,0,337.46,719.36,1036.92,0,0,728.56,6846.92,14865.25,23206.36,598.19,671.09,633.2,716.71,544.46,369.6,0,0,0,0,1536.64,0,651.84,0,0,0,0,0,477.95,828.68,997.03,0,0,767.48,5706.22,4942.83,0,828.43,699.18,375.71,620.57,599.91,0,0,1628.1,1550.77,0,0,0,0,1045.04,0,0,0,0,0,2582.9,780.14,1532.66,2955.87,1114.56,0,0,0,684.28,702.33,0,0,0,0,0,174.86,806.48,0,0,584.25,750.25,231.87,0,0,759.03,701.05,698.26,0,722.31,0,780.23,0,617.46,611.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URIDINE,637376.69,571602.31,388549.62,563423,1043775.75,339948.97,522584.62,657709.94,643328.62,366545.03,906390.81,639043.88,374063,492744.28,595443.19,511562.84,433033.75,476128.75,692651.69,471560.88,610288.25,235771.67,307548.41,338919.72,522005.59,502243.25,352269.03,301837.12,465938.66,377524.28,450357.09,711247.69,406479.47,746225.44,351529.34,669723.25,685621.81,767367,818967.81,854356.94,700644.5,351658.47,791435.81,914385.31,587513.19,466768.88,539123.19,773607.69,392724.84,681125.75,230887.39,627820.31,732365.19,550863.81,233939.64,290352.97,509553.84,379138.88,578648.19,532927.06,786654.56,582049.31,600259.75,633110.19,834319.81,864230.5,917967.69,1160543.62,399055,717432.69,996880.69,571557.94,421318.22,552708.19,401040,437691.22,561663.25,509500.25,511564.72,787970.81,511320.75,625796.25,733021.69,382029.5,454477.66,517230.5,661623.31,692348.19,765272.06,451513.75,545433.62,434411.09,672244.94,399222.34,780106.31,633056.5,313858.88,633386.06,621027.31,916103.5,734618.69,755881.94,484810.75,688766.62,722578.5,323015,1011672.19,509312.88,399727.66,534896.81,474952,460585.66,403410.34,445983.91,412218.03,651564.81,1151384.62,546511.38,927084.81,722589.25,340177.53,856189.5,683158.81,686721.81,789012.56,571642.75,588651.44,1008971.81,405346.25,425353.16,395426.5,535689.5,913231.75,873013.75,701338.19,628454,1001107.75,594034.56,0,0,866.77,0,783.09,0,951.18,683.03,0,0,0,0,814.3,942.95
PALMITATE,15980.37,25077.62,25752.3,16093.62,13904.73,13932.7,20006.44,12509.59,3351.2,15175.88,4157.36,27646.02,23801.28,28289.38,9311.74,11119.03,19609.88,9024,10567.17,7733.89,8327.85,18863.41,27322.09,16854.35,27090.73,24494.03,9669.9,11883.4,4169.95,20972.13,13238.7,40247.66,7391.43,9747.86,7400.52,17779.38,8928.08,21946.85,20886.11,14704.92,17342.93,18803.08,17612.52,22693.55,13642.76,10235.09,17277.03,21980.76,8849.19,30966.02,10894.24,24988.12,15701.2,34454.89,12025.64,28662.2,10303.74,26075.71,15755.13,13165.5,7423.35,14384.35,32304.72,12851.09,22420.2,29974.33,34960.93,39855.9,9766.34,21403.88,12651.98,16663.59,14316.78,7080.48,10735.23,18367.62,14784.3,32274.77,40988.68,30380.34,11760.02,26644.81,24767.53,29331.89,26877.82,23630.93,26358.39,8366.58,16498.64,21968.66,14538.98,12261.58,16379.19,7753.88,37786.98,22184.03,20622.77,34845.5,27355.77,11159.69,9849.04,21036.07,10053.78,12860.72,28437.72,5311.14,5443.09,16085.83,34356.96,17371.07,24605.2,13013.28,35588.17,16243.09,39615.75,15595.68,22324.74,18931.74,41105.29,13356.5,10661.1,22766.22,7788.84,9467.92,10265,25258.77,26518.46,49379.33,12141.07,26729.86,19879.28,30128.1,33338.94,10248.09,13082.04,3545.06,15559.4,28724.37,3110.83,1581.63,2178.83,1308.67,1127.34,5123.29,1361.01,2696.1,3076.51,1483.33,3484.68,1427.74,1371.91,1064.79
INOSINE,765763.69,424592,1260827.88,362696.09,278181.97,915064.19,527355.31,107737.93,412649.84,618894.62,524740.69,347997.66,367498.28,145804.94,662496.06,89073.87,1041123,258090.55,1278399.88,262472.22,1058936.38,431782.47,129399.12,389869.22,37804.09,1460545,734399.75,1867926.88,1519535.88,806998.19,125870.88,945519.5,182679.61,626205.69,1299870.38,991297.94,664732.94,845939.56,635448.25,1950176.62,801967.44,772210.44,481278.78,362423.91,1338239.38,1026731.44,702170.5,222884.05,654604.25,421132.75,740266.44,756448.81,569301.94,431444.84,458981.12,79083.94,807589.06,951890.44,169471.2,666912,1483883.38,516599.75,983918.75,570899.69,1110933.38,1745009,204527.83,2247675.25,621884.44,1342348.5,256822.67,660357.81,1100845.5,1010321.81,933514.81,1269804.38,165491.8,215319.73,831150.31,2159822,493417.66,247314.86,1102786.38,1226113.62,1397099.12,495735.5,1303567.75,433858.03,6349.76,309524.66,479946.97,214800.75,68217.99,35620,134909.88,126310.41,99740.84,714198.5,812386.69,66603.03,1062029.88,515315.62,665685,915750.25,93897.12,139884.89,51589.97,932188.69,157009.81,675719.38,546237.12,193612.3,60360.38,832468.81,178278.7,892857.06,1696576.12,512773.41,61991.03,65359.96,897301.94,56401.73,87935.32,65479.19,1526829.5,1394793.62,740244.19,1157817.88,233997.17,53677.2,594543.69,890534.25,108988.41,250906.81,129217.84,78806.78,136685.64,181568.06,0,0,0,0,0,0,924.29,898.34,0,0,0,0,0,0
OLEATE,154598.58,235174.39,219191.23,182222.88,124005.65,64734.03,140206.67,110973.56,22057.8,234586.75,74941.25,400469.12,143875.25,235987.81,87341.45,118780,184758.8,165887.7,162932.98,33317.4,31800.8,139396.59,88615.46,190456.88,142882.22,184105.12,87080.79,80315.59,36316.89,138966.61,141537.92,256443.7,44959.64,64243.28,35143.36,22907.72,68255.1,263889.28,120560.59,44498.86,105355.59,127308.52,89244.52,230652,88250.81,155273.06,202573.23,291627.25,83421.6,394501.91,58648.07,127298.29,142167.52,208405.8,97318.44,183069.83,102043.69,371246.47,136514.95,124458.71,32996.54,161056.83,259021.83,117506.12,202850.31,518120.09,430768.41,509171.5,93741.2,126629.77,82605.16,127331.38,126833.04,90955.59,105896.75,147674.86,185356.08,360502.66,354400.25,290675.38,39173.44,122739.31,160711.7,263856.31,279987.84,258229.77,325303.22,100616.07,216207.38,180153.02,114368.38,66865.04,93385.47,51436.88,498752.66,211560.25,198455.44,263100.69,374288.72,43670.53,82515.91,109998.74,121622.54,131829.2,325669.75,41811.32,61655.58,166193.44,234276.05,185007.25,220120.44,124123.7,377960.38,199564.12,542406.88,118398.72,120562.55,141944.2,540666.44,70276.49,138678.27,202982.08,82587.03,109955.65,124948.18,124226.1,305748.72,41234.07,108796.7,202093,261294.27,420976.59,495171,136175.5,105700.16,33806.57,116123.19,285680.09,826.07,1044.11,0,0,867.44,2952.02,0,894,1019.38,0,2223.98,0,0,0
GUANOSINE,52605.29,38859.5,93806.28,56227.07,24575.15,85528.61,13866.17,14284.19,32800.58,63484.57,34354.04,57458.12,45036.5,14723,58153.06,9463.79,80002.38,44759.03,84961.16,20415.22,112683.27,33453.69,13316.79,57197.42,2538.55,155932.95,178687.69,240008,340209.34,101125.52,20165.24,138848.98,4848.66,111971.72,139078.33,106217.38,92607.06,115518.54,47075.43,180482.61,148138.36,79818.21,43780.79,36263.44,150032.89,102254.23,53941.73,16562.2,119470.44,51985.25,81349.87,85814.2,70472.24,33026.75,54266.83,24444.62,44787.34,97426.12,13792.39,116339.73,144610.2,103829.55,69669.84,44323.24,112521.28,233875.12,18469.39,226786.31,68358.91,126590.31,24616.68,74193.51,85145.21,73065.48,162265.28,96903.44,26707.49,22808.62,89561.79,138304.27,40494.34,47100.08,76350.68,145601.86,168309.75,79932.24,150248.27,36369.11,0,65610.2,50900.94,38577.56,8655.73,4139.11,16171.52,23009.19,16582.61,82270.97,112798.07,7296.03,100534.16,84418.34,69737.81,102171.06,17278.29,22834.35,3073.71,77354.84,42823.1,50932.43,110111.25,56082.28,4977.93,146968.36,53809.75,100774.98,163849.69,64681.76,0,3920.17,117444.8,4763.92,0,15766.62,102829.68,232548.08,72812.08,94775.15,16239.95,2532.81,80691.43,143232.92,39032.41,46427.93,37196.96,3383.58,11270.32,26314.59,0,0,0,977.95,0,0,0,0,0,789.75,0,0,868.62,1106
CORTICOSTERONE,13208.96,22051.1,15864.49,26259.38,35993.11,5718.45,3639.48,34239.1,3009.29,5578.62,2269.24,21220.11,9447.69,11590.94,8163.46,4397.67,7179.36,8745.58,8372.23,38349.05,6822.24,6406.28,3648.14,176768.55,7750.27,3530.73,19283.55,7418.93,7295.1,11658.07,2789.09,42762.53,6329.32,10947.69,6275.94,8458.94,41994.69,19261.38,9042.84,5606.38,34510.14,3697.7,5131.26,8436.11,6523.27,15282.27,17233.2,19833.51,16126.45,6341.29,45147.64,43474.33,5264.57,12171.19,10240.8,14098.65,15807.18,19714.18,12819.16,15904.68,4674.79,14440.7,1224.6,11679.65,4557.52,6181.98,5764.79,3051.02,0,7619.5,4500.06,3822.94,11464.15,39774.07,23235.71,213523.8,16152.39,17469.32,5837.1,8319.3,3728.2,14207.45,4539,10136.79,15627.9,124177.75,681190.5,10140.27,74081.94,4426.19,13506.69,8189.6,10830.73,15205.45,35123.66,11198.33,7362.19,6614.15,0,12433.19,14866.09,53405.07,9380.88,13133.46,4451.14,1357.79,0,128841.35,11434.64,14328.32,45949.67,8944.25,8252.86,6844.02,35108.57,19188.66,14936.33,7743.02,12214.71,7839.61,427628.41,23760.07,16330.16,18202.92,20596.01,9100.21,35905.91,5302.11,0,3297.62,11599.24,65499.28,17316.49,15484.02,11733.45,12183,12425.98,7175.58,0,0,0,0,0,0,0,0,0,911.82,0,0,0,871.82
CORTISONE,9092.74,6095.39,3089.69,9070.57,6866.43,5324.68,1843.54,8161.91,4029.93,4623.54,3109.8,3793.58,6377.94,2898.79,5354.48,2231.69,4427.81,1973.73,6801.92,1848.4,8301.43,2993.47,2594.31,3403.9,6200.07,3991.2,0,0,0,2509.95,7047.06,12233.73,2368.4,6187.21,4049.03,3934.36,0,10317.25,3078.62,3916.62,4684.66,3215.29,2993.77,3087.89,2139.7,9907.24,13549.19,18083,15561.99,2747.19,2241.97,2767.61,2166.9,4929.31,2228.62,3988.72,6234.69,13443.36,5484.19,11144.3,5091.79,3165.6,3455.81,9573.68,0,6384.91,10155.69,0,3445.2,1282.07,1496.85,2959.62,3070.82,4914.09,8291.42,9553.75,0,0,7213.13,5670.04,7296.88,2617.53,3834.26,3904.2,3839.24,15682.47,22610.51,4380.24,8909.51,3829.12,4261.83,2664.52,2961.54,3093.28,3702.62,2402.27,4958.49,3973.66,3467.17,4060.16,3694.99,9252.64,4664.41,4380.91,8011.42,3536.88,8782.72,3567.82,2135.34,2021.13,3452.1,1853.02,4107.97,5543.19,5377.38,3833.86,10832.34,7253.37,9617.04,2095.89,3676.8,3125.84,15443.15,6963.8,7532.9,5230.54,6799.46,6073.84,2875.63,1879.83,10063.76,12881.56,5549.67,5629.95,0,2623.14,8355.71,8883.74,0,0,0,0,0,980.44,0,1273.04,0,0,0,0,0,0
CORTISOL,21846.5,37481.36,29035.67,42463.8,4391.86,2559.85,1709.04,2339.37,1691.13,7731.66,6301.57,2487.04,21640.63,15053.21,11681.5,19274.09,4146.87,5821.26,5136.39,4209.18,15350.61,5003.97,2756.24,13839.52,9177.12,4258.02,0,10728.25,12615.41,9596.85,2668.04,12333.41,9296.37,27047.26,3177.72,2846.73,15573.96,25527.01,5744.2,6491.36,27112.89,12609.99,6162.59,2820.32,7322.93,10111.09,10499.88,16704.17,8492.89,2388.91,17301.89,13426.89,1419.17,7366,14054.92,10158.2,12612.65,8852.65,13188.25,18280.08,7607.08,7208.82,5496.89,5830.62,6002.69,2533.14,5677.64,0,0,6613.69,5156.84,3409.32,10318.28,22065.62,16832.09,9606.58,7942.96,4605.53,9897.66,6766.58,2211.83,3932.33,6065.24,5438.09,6184.36,32680.52,53746.08,8413.81,40367.72,5163.81,7732.1,4392.09,11192.09,9392.03,8028.18,8293.43,6329.75,10476.87,5715.62,10770.83,8760.85,25775.09,8252.41,9626.16,6044.14,1499.08,7441.72,17054.59,7749.22,6465.65,3027.04,3438.78,4279.77,6599.86,12127.6,13005.61,18730.74,5841.36,9240.39,5542.06,13491,13939.67,14517.23,10430.76,13987.31,4570.23,15038.64,1958.82,3660.4,6444.97,8839.39,12636.75,7528.05,13116.99,2766.63,7357.92,4819.95,13397.46,860.64,0,0,0,791.05,0,1141.96,0,0,0,0,0,0,0
DEOXYCHOLATE,394518.34,157570.52,217659.62,329808.06,119581.96,117513.45,19765.91,93615.29,614432,210754.86,146632.84,99306.65,705034.44,415966.97,3323435,1332977.88,279060.97,309739.56,193432.55,517791.78,26786.82,110665.5,171973.3,154806.11,76416.65,140062.41,59038.2,311056.06,78605.54,440969.34,808375.31,1167388.38,1167824.38,69718.79,174864.42,136905.72,120065.77,348433.09,410546.03,75254.86,671806.69,249529.23,382865.22,1647425.5,1160468.88,149696.27,62229.84,155399.45,390024.84,143912.83,212293.75,225025.75,254723.06,196111.58,78446.75,323363.41,798979.75,165969.92,321052.97,1623795,186255.95,249533.44,267046.38,616977.06,290597.5,413579.84,231901.98,259934.12,146696.09,75636.34,261148.55,305248,373043.25,2451337.75,589127.69,235829.89,391735.66,257106.73,1028103,155494,175241.48,355600.16,347649.22,179082.45,264446.72,201813.58,160487.61,45138.36,161517.25,83567.3,914929.69,880231.69,393366.75,3208982,122543.65,71045.37,276551.38,544742.94,356523.78,245266.86,456480.97,160332,117040.93,601537.19,146481.39,64235.03,178243.77,32978.3,121743.72,684625.06,210947.75,197365.62,75966.67,127479.13,162449.69,47425.24,41704.08,122013.27,156693.17,92609.06,626475.19,207152.12,579270.69,231457.06,255467.86,100648.87,940283,399956.12,338550.84,372269.84,177651.69,21670.25,136233.39,259899.19,235615.88,736785.19,49548,342462.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
