Sample_ID,PUL0253,PUL0366,PUL0392,PUL0585,PUL0638,PUL0639,PUL0649,PUL0651,PUL0019,PUL0196,PUL0371,PUL0518,PUL0189,PUL0323,PUL0633,PUL0179,PUL0619
Prebiotic_M3_OA26,1378860.998,1121834.928,18005.51044,20677.24205,643753.373,780344.8289,4721.369554,81840.48142,566401.2019,62334.33861,4153.009235,0,0,6959.051236,23844.0938,13843.11267,13843.11267
Prebiotic_M6_OA26,1362563.329,842354.6492,15678.46553,13832.54507,251698.4525,177251.1415,2576.993213,58456.77006,664883.2449,15222.01273,7275.781607,166238.1313,0,14252.47949,12866.25211,11571.66603,11571.66603
Prebiotic_M0_OA28,1028469.868,684492.0575,38560.66212,59240.43968,1102557.75,372120.4199,4534.788872,70291.49009,31977.34612,25033.52915,4709.901418,69334.02709,2495.254537,16579.01779,2927.235168,1335.627554,1335.627554
Prebiotic_M3_OA28,815305.4728,407738.0613,51313.19675,29814.48192,683129.0916,190372.0925,2020.615277,39819.80084,10628.40698,22094.28927,4725.5401,51144.90562,4540.491115,10396.14639,5430.499963,5921.504759,5921.504759
Prebiotic_M6_OA28,680030.4557,689851.8565,128774.5857,42093.75693,824780.126,271446.1657,2770.474202,65105.766,34362.00441,22129.9578,5247.794996,13683.90335,83461.87785,11451.05625,2114.304431,1038.965483,1038.965483
Placebo_M0_OA29,827064.7293,384852.5117,87373.27284,684290.3007,1407448.418,434441.0905,9655.111986,78175.79713,196026.7282,771616.9952,10559.13233,22296.20059,5014.648406,7049.310952,1996.495254,3158.098117,3158.098117
Placebo_M3_OA29,609673.0509,276417.5438,101211.1824,303131.6725,540169.8359,273348.9807,7980.855561,28977.60856,114188.9212,14062.42876,5822.37347,37904.53362,16641.33669,7600.20939,16806.73174,22525.93143,22525.93143
Placebo_M6_OA29,1200829.604,828928.676,203316.6465,218863.943,2184748.732,657760.024,8041.516458,40920.82585,262449.3838,28541.56478,2897.238627,73505.56016,14836.22209,4450.383351,1268.129041,32467.65321,32467.65321
Prebiotic_M0_OA30,1983728.199,727393.4681,15474.53106,6820.331657,364129.963,343005.3994,4642.432946,24436.4788,1925.506236,36382.9348,17666.28196,161079.6875,4962.738695,26111.52464,32977.95913,99226.1054,8272.710917
Prebiotic_M3_OA30,2017102.968,437531.4396,45622.59488,5982.948997,255774.8131,166654.8217,3680.95997,41489.15126,0,25233.0063,13536.93237,18928.08787,7075.766416,18394.81913,15602.7848,570064.38,13938.13183
