Metabolites,Placebo_M0_OA05,Placebo_M0_OA06,Placebo_M0_OA09,Placebo_M0_OA10,Placebo_M0_OA13,Placebo_M0_OA20,Placebo_M0_OA23,Placebo_M0_OA24,Placebo_M0_OA25,Placebo_M0_OA29,Placebo_M0_OA33,Placebo_M0_OA34,Placebo_M0_OA36,Placebo_M0_OA37,Placebo_M0_OA45,Prebiotic_M0_OA01,Prebiotic_M0_OA04,Prebiotic_M0_OA08,Prebiotic_M0_OA12,Prebiotic_M0_OA19,Prebiotic_M0_OA22,Prebiotic_M0_OA26,Prebiotic_M0_OA28,Prebiotic_M0_OA30,Prebiotic_M0_OA35,Prebiotic_M0_OA39,Prebiotic_M0_OA40,Prebiotic_M0_OA50,Placebo_M3_OA05,Placebo_M3_OA06,Placebo_M3_OA09,Placebo_M3_OA10,Placebo_M3_OA13,Placebo_M3_OA20,Placebo_M3_OA23,Placebo_M3_OA24,Placebo_M3_OA25,Placebo_M3_OA29,Placebo_M3_OA33,Placebo_M3_OA34,Placebo_M3_OA36,Placebo_M3_OA37,Placebo_M3_OA42,Placebo_M3_OA45,Prebiotic_M3_OA01,Prebiotic_M3_OA04,Prebiotic_M3_OA08,Prebiotic_M3_OA12,Prebiotic_M3_OA19,Prebiotic_M3_OA22,Prebiotic_M3_OA26,Prebiotic_M3_OA28,Prebiotic_M3_OA30,Prebiotic_M3_OA35,Prebiotic_M3_OA39,Prebiotic_M3_OA40,Prebiotic_M3_OA50,Placebo_M6_OA05,Placebo_M6_OA06,Placebo_M6_OA09,Placebo_M6_OA13,Placebo_M6_OA20,Placebo_M6_OA24,Placebo_M6_OA25,Placebo_M6_OA29,Placebo_M6_OA33,Placebo_M6_OA34,Placebo_M6_OA36,Placebo_M6_OA37,Placebo_M6_OA44,Prebiotic_M6_OA01,Prebiotic_M6_OA04,Prebiotic_M6_OA08,Prebiotic_M6_OA12,Prebiotic_M6_OA19,Prebiotic_M6_OA26,Prebiotic_M6_OA28,Prebiotic_M6_OA30,Prebiotic_M6_OA35,Prebiotic_M6_OA39
CREATINE,8455.2,11071.71,4246.86,6196.99,15774.26,16112.35,5912.26,3624.16,5603.08,19795.93,3707.96,7937.7,19787.88,4214.07,4357.05,16834.84,10511.82,13642.1,19258.57,6588.89,6657.95,12573.04,26359.07,4631.29,4349.31,8810.33,38117.95,10096.67,11990.81,10032.6,11366.18,6798.66,26917.16,15110.52,15363.48,3449.91,3241.6,16338.04,4045.68,6579.24,8793.86,3328.5,21346.4,26023.14,15352.32,5518.31,4995.77,24234.59,14139.77,6008.13,12495.83,15426.52,4574.25,3451.79,4604.8,11309.49,22539.62,11760.41,13196.79,5702.33,33218.57,24531.63,5498.88,5760.49,10626.96,3004.03,6925.05,7303.77,5128.81,5087.65,16629.34,15923.95,27182.17,21373.01,31478.37,7908.52,14718.21,4993.04,5687.04,5686.65
CREATININE,33984.43,21820.4,68715.48,38844.89,25091.1,32413.75,41376.94,34569.27,25194.87,42881.86,42677.35,31575.26,26383.35,28386.73,30674.98,29127.76,36072.78,34087.7,37158.83,36728.33,26709.06,23044.78,39419.98,53204.93,34373.26,34057.28,37274.69,34888.25,47608.97,22497.15,77581.79,37209.63,29556.02,38462.51,29763.02,26072.47,42461.33,37519.95,40021.89,49920.64,39158.85,29709.02,29330.29,43687.92,27290.56,26763.55,22317.46,26400.21,35706.72,30910.05,34356.11,33205.7,54186.22,37735.09,26856.91,37477.48,30053.59,36917.25,23888.02,80672.02,39394.19,48586.74,35914.91,45101.96,33985.61,33335.09,39816.28,33177.7,37021.76,17072.83,26125.52,28765.96,31190.74,23637.93,49043.19,38568.7,44766.27,60751.89,40025.21,25644.61
DEOXYCHOLATE,705034.44,279060.97,140062.41,440969.34,249529.23,798979.75,290597.5,146696.09,373043.25,160487.61,276551.38,245266.86,64235.03,121743.72,100648.87,394518.34,614432,110665.5,348433.09,196111.58,267046.38,235829.89,179082.45,914929.69,117040.93,75966.67,47425.24,136233.39,415966.97,309739.56,59038.2,808375.31,382865.22,165969.92,413579.84,75636.34,2451337.75,45138.36,544742.94,456480.97,178243.77,684625.06,626475.19,940283,157570.52,210754.86,171973.3,410546.03,78446.75,616977.06,391735.66,264446.72,880231.69,601537.19,127479.13,41704.08,259899.19,3323435,193432.55,311056.06,1647425.5,321052.97,261148.55,589127.69,161517.25,356523.78,160332,32978.3,210947.75,255467.86,217659.62,146632.84,154806.11,75254.86,323363.41,257106.73,201813.58,393366.75,146481.39,162449.69
D-GULONIC ACID GAMA-LACTONE,14780.73,1366.64,1108.95,1005.18,6325.97,1593.88,4398.17,2928.79,2101.45,3606.13,1566.78,1111.49,1087.93,3517.29,2937.64,5049.95,1247.96,3413.05,93377.88,57319.12,2996.85,1680.49,1352.86,1180.02,8106.45,1682.83,10970.57,2894.51,6190.97,3027.76,2218.24,4061.93,1096.55,1704.38,4330.77,1471.84,1687.7,1399.56,1769.33,3399.72,2773.19,1158.97,2794.25,3680.75,1848.48,1591.08,5797.97,1314.86,2512.28,1304.55,4162.75,4323.46,5620.12,6443.39,1445.45,1375.79,19074.85,10766.29,3000.05,3246.56,8383.36,1208.55,1478.2,5338.83,19882.24,1493.44,1745.49,1368.14,4443.85,5062.48,4117.53,1568.17,2236.29,4857,5057.12,1145.76,5150.43,41315.62,1305.5,1248.91
D-SORBITOL,90973.81,33181.67,57938.03,687918.19,63497.88,157647.17,165263.5,37425.31,206198.19,500034.88,378336.16,76157.18,98603.96,51793.1,28143.88,44169.68,88343.12,76571.81,50939.64,43315.45,134485.42,30219.21,31585.91,50008.72,38111.54,47261.11,516642.16,25006.02,100210.75,33113.51,150167.94,117301.13,34192.53,32561.68,446836.09,75130.17,43127.41,260791.23,40709.94,28929.89,132455.47,31323.45,47864.38,46151.84,145094.27,198180.94,63654.94,39021.34,613867.75,63085.11,98028.38,31547.92,93319,33279.94,22685.11,24942.03,28579.19,47738.66,65338.62,79293.9,35386.85,36487.66,29109.72,227980.52,75669.1,36005.9,388777.75,64974.38,27650.74,33072.45,77375.32,40494.55,32268.17,51768.84,33500.29,23768.72,29574.82,45571.56,35725.84,29566.56
GLUTARATE,33526.5,17675.45,24549.58,16793.56,12515.16,9608.33,26285.88,36053.8,9578.41,80868.97,27754.48,10479.14,8960.73,16312.17,38346.04,6708.18,15392.08,8326.73,11989.56,10582.46,8656.4,16006.5,18970.22,12890.21,24638.35,33106.84,20697.32,18273.71,36353.53,20392.99,16226.06,7413.06,10001.24,15915.79,13077.11,21924.89,42741.36,61046.86,20242.74,17227.14,21560,23811.5,20616.07,19918.8,22422.54,18585.53,17474.49,13350.07,19042.55,14793.5,32599.36,44642.26,23903.03,41798.01,32070.73,37149.38,28471.15,38709.6,15340.84,46911.74,62049.61,65654.13,108895.48,100989.79,588067.62,38645.81,86854.21,41547.62,31830.95,82242.89,20965.08,28316.09,17521.54,58583.62,67309.45,51375.42,87113.09,34782.82,67255.71,50498.97
GLYCOCHOLATE,100480.97,6326.34,23357.88,43229.97,22849.24,168472.64,15313.67,35788.54,106722.69,14296.43,12681.52,18110.28,25917.34,50515.08,10758.53,8259.71,38280.38,9688.94,22580.35,19613.34,72094.16,40640.76,3919.31,33767.7,21908.47,4953.35,98219.22,0,17886.73,30554.1,21023.42,29205.65,31281.26,110282.23,16300.86,7154,224286.88,26130.95,43151.54,26520.71,257741.42,189872.92,35584.95,52573.48,70933.97,27294.74,21321.65,44301.29,26850.11,113181.37,27983.14,2624.26,46794.28,65619.43,6434.06,63139.19,33376.97,38118.64,12106.64,45931.77,56405.59,122072.59,11818.31,82578.05,6673.89,38903.39,21043.52,102069.78,45270.46,76452.57,12836.89,5062.13,11693.01,28212.42,39204.64,14120.79,9259.72,50892.53,50584.3,18863.29
GUANOSINE,45036.5,80002.38,155932.95,101125.52,79818.21,44787.34,112521.28,68358.91,85145.21,150248.27,16582.61,7296.03,22834.35,42823.1,232548.08,52605.29,32800.58,33453.69,115518.54,33026.75,69669.84,96903.44,145601.86,50900.94,69737.81,4977.93,100774.98,39032.41,14723,44759.03,178687.69,20165.24,43780.79,97426.12,233875.12,126590.31,73065.48,36369.11,82270.97,100534.16,3073.71,50932.43,117444.8,72812.08,38859.5,63484.57,13316.79,47075.43,54266.83,44323.24,26707.49,168309.75,38577.56,102171.06,146968.36,163849.69,46427.93,58153.06,84961.16,240008,36263.44,13792.39,24616.68,162265.28,0,112798.07,84418.34,77354.84,110111.25,102829.68,93806.28,34354.04,57197.42,180482.61,24444.62,22808.62,79932.24,8655.73,17278.29,53809.75
HIPPURATE,1645816,680103.25,977633,4653413.5,8904163,1980148.88,4099131.25,1649445.62,2493969,2287480.25,961635,768202.69,271730.66,6463498.5,4451997.5,367552.28,3257968.75,4892416,3633229,9365597,833981.25,2162956.5,4360898,10137256,5694089.5,1271049.88,1235615.62,1037648,3199602.25,641340.56,5216682.5,2464024.25,3905828.25,1950739.62,1764859,2480255,5839292.5,1915141.62,3822613.25,1369063.12,577256,1858161,1037072.81,8960788,904364.75,2178435,7627638,3734131,12110151,4815134,10385127,4572743.5,15049293,2959082.25,347730.28,1737668.5,916857.5,1734003.12,805880,1624800.12,5359345.5,1864156.88,2107735,3238559.75,1500272.62,1413032.38,1017589.5,1092080.38,2590133,1403573.62,3545230,2742458.75,26842634,5748230.5,18361182,11197059,4213548,1283157,3644920,2232463.25
HOMOGENTISATE,22281.93,7233,19627.92,18089.01,23053.06,14554.62,8003.53,9517.22,25316.42,19641.3,22005.83,6186.06,30039.18,15262.22,14821.97,6510.04,15445.25,49039.53,20963.85,15203.12,15977.15,26987.49,31027.71,26916.2,21528.35,20987.5,43985.83,3868.62,21732.8,12008.1,44516.18,16865.22,26278.43,19302.28,16129.53,10002.07,20070.12,10711.3,17360.24,17107.26,22553.49,38027.36,34519.93,18191.48,10060.11,31812.82,42794.77,24967.59,30965.35,17103.35,29911.29,21738.27,28311.83,19363.2,22178.15,28147.99,9382.53,25059.4,5423.92,18837.72,27958.45,24967.85,18078.12,27672.52,11091.46,12315.35,10336.08,14091.74,13357.95,14789.77,13959.79,50683.48,66402.57,24543.07,79002.22,18347.05,33164.2,17862.1,25743.24,27720.67
HOMOVANILLATE,9261.51,32161.6,32334.52,47458.3,407671.12,11173.68,201683.73,15765.29,122926.49,61530.2,12067,7566.45,3380.11,427779.59,115886.74,31486.26,10832.69,102905.06,48317.4,71334.87,1697.24,13603.58,59112.06,42446.66,42976.3,20169.63,26693.05,8463.49,20156.95,27962.21,199485.08,24090.12,13463.16,22883.61,82179.97,8675.29,82973.02,36349.31,40672.49,12974.4,12801.5,41705.5,305090.59,60342.74,33137.15,11231.24,86773.21,20339.27,154321.48,18969.52,117981.1,66163.95,110833.22,46864.71,91143.77,17753.22,14141.27,7806.04,14080.31,62027.5,26125.42,24464.17,81351.6,208399.05,70172.78,12481.41,13553.5,19423.08,116967.26,156484.42,67288.17,11896.85,186898.3,77460.69,154112,183058.8,195832.94,23588.49,88617.13,181524.89
HYPOXANTHINE,611830.12,530910.12,146818.42,187782.7,270166.53,801274.56,175810.06,94337.79,275782.34,493169.5,423295.72,523771.09,419524.91,328896.16,454941.91,412245.22,165410.59,446488,466947.22,194262.94,210348.75,390976.91,177308.31,279374.66,328015.59,503380,237118.38,393334.59,541239.69,684052,242052.27,661497,948513.75,420975.03,512925.91,304497.81,150663.44,956129.69,290979.72,193044.48,925745.31,172443.44,83315.54,451830.5,601299.94,347600.72,557051.69,1090321.62,212334.12,895631.31,749429.81,394752.16,227897.64,205982.83,603885.62,1147672.88,276036.53,437403.5,283259.47,323017.34,1030196.81,1016384.5,747229.81,500403.78,1389880.88,330907.84,250066.67,557247.06,464258.09,160427.22,373909.25,453940.41,505592.16,573859.75,310587.53,662484,316297.78,337768.72,543439.56,535290.81
INOSINE,367498.28,1041123,1460545,806998.19,772210.44,807589.06,1110933.38,621884.44,1100845.5,1303567.75,99740.84,66603.03,139884.89,157009.81,1394793.62,765763.69,412649.84,431782.47,845939.56,431444.84,983918.75,1269804.38,1226113.62,479946.97,665685,60360.38,892857.06,108988.41,145804.94,258090.55,734399.75,125870.88,481278.78,951890.44,1745009,1342348.5,1010321.81,433858.03,714198.5,1062029.88,51589.97,675719.38,897301.94,740244.19,424592,618894.62,129399.12,635448.25,458981.12,570899.69,165491.8,1397099.12,214800.75,915750.25,832468.81,1696576.12,250906.81,662496.06,1278399.88,1867926.88,362423.91,169471.2,256822.67,933514.81,6349.76,812386.69,515315.62,932188.69,546237.12,1526829.5,1260827.88,524740.69,389869.22,1950176.62,79083.94,215319.73,495735.5,68217.99,93897.12,178278.7
ITACONATE,4411.98,3353.45,21787.78,9325.7,14823.06,5026.07,41196.03,54592.25,7773.95,20036.66,91605.59,4823.01,9158.61,73120.41,60017.62,9882.58,21366.81,29712.95,21204.5,13075.66,4989.47,7553.11,9340.97,14955.02,11367.74,60526.92,65231.25,45270.62,12819.1,5015.3,14182.36,5509.82,20593.31,8876.04,17825.88,12001.14,98768.34,53385.89,52093.66,29456.46,50438.33,72756.84,104312.75,47886.24,6792.56,20033.48,11829.33,21842.57,15287.1,7097,44961.48,24184.96,43840.2,31025.44,49977.39,39103.46,48622.25,4897.85,2748.55,9917.56,17968.94,52740.11,50415.28,47919.75,215682.94,40847.43,52751.45,89571.04,85195.62,91650.12,8745.65,23817.85,18984.32,15429.78,44384.14,35969.5,39456.02,43619.52,49735.73,49123.01
L-ALANINE,894.48,2786.4,411.76,0,2912.5,3057.91,0,428.67,485.95,2925.49,607.15,459.4,665.73,616.11,518.19,4056.03,2040.17,973.79,2484.58,337.96,0,2271.66,3812.96,582.98,545.65,588.85,3785.89,1683.06,3951.7,3098.59,1834.47,589.68,4228.38,3504.7,3684.05,0,685.79,562.07,1069.31,688.83,1538.58,0,869.76,3181.49,2950.3,366.74,451.59,4749.91,1357.78,859.67,498.79,3668.52,876.49,393.31,506.21,2457.77,1732.27,2382.23,1956.29,1461.86,2223.62,530.25,686.39,0,3553.71,0,781.39,656.75,589.25,591.42,3639.2,3695.52,3513.65,5008.84,4208.22,1724.41,2766.1,949.36,548.81,0
L-ARGININE,648442.25,596787.19,556234.31,665374.12,740302.75,603549.75,519443.16,778972.31,559370.5,728368.75,554034.94,428681.62,574394.88,641834.5,584726,751941.25,745914.06,556214.06,595714.31,457452.34,459211.72,535809.31,797058.69,592439.19,309184.72,511742.72,781459.81,665342.5,653309,567688.94,762105.31,646947.75,1153024.5,700938.06,548119.75,756395.25,770231.5,697274.19,452404.38,696825.5,566482.19,582326.56,722236.25,734043.25,542493.94,674293.44,565682.19,1059958.12,752788.81,518798.25,521819.78,782182.5,732014.56,368547,506036.34,772414.31,811043,788110.75,719554.69,568508.75,1005819.81,806175.44,895155,694542.69,1054252.62,587441.19,673010.75,591721.31,970935.81,554154,752797.69,869711.31,900194.56,1047243.81,847940.75,449832.88,746616.19,577305.19,424177.41,571260.56
LEUCINE,36115.23,29933.95,45900.87,41217.41,47197.14,41405.24,35322.11,35822.76,33542.94,37168.8,55775.14,26714.68,58654.09,46542,26078.05,33567.16,33547.44,46299.72,31510.67,27764.65,38207.7,44468.52,60010.53,53631.12,37005.55,36930.67,39809.22,27925.58,42830.48,40801.42,80739.55,43160.9,59532.13,39826,41742.29,31248.48,26967.22,30649.78,39548.33,31459.24,49871.2,42486.76,50527.28,52095,32358.95,49018.56,39596.06,61703.8,63310.22,37625.2,42677.06,49246.64,48056.07,28080.13,22424.08,30700.04,53619.9,39599.18,30220.54,46624.16,68802.2,69514.82,47171.11,36481,45212.23,33437.49,37296.79,40936.07,37011.54,24898.2,47896.9,54613.09,62691.33,41025.63,84165.94,44829.21,45236.94,41726.64,40482.09,22706.26
L-GLUTAMIC ACID,77830.48,43186.21,45382.39,22914.54,36495.78,46023.03,40715.39,15225.61,26777.74,34099.87,56955.19,93437.88,49847.11,26460.35,24170.46,31963.28,18304.87,40403.43,36166.93,15394.94,72171.78,37060.73,50905.07,42421.08,50822.3,45179.17,44896.75,55407.52,54953.84,43672.91,109278.1,31322.7,78964.05,37844.8,64075.07,14896.57,33993.7,65747.52,92713.66,55074.32,76221.01,23654.85,25552.59,94380.57,42863.54,28659.02,50256.75,63677.55,20388.21,85326.74,60610.05,86396.89,26211.05,40295.42,32644.22,61974.89,29214.68,52526.92,48930.46,59645.02,98413.45,106583.73,35755.91,29103.32,127813.51,97427.07,51646.89,68237.56,54820.25,81801.34,76763.51,66565.63,77722.8,33707.86,28187.26,76848.51,29837.64,56499.86,38943.01,37175.36
L-GLUTAMINE,856492.44,754185.81,725018.06,780498.94,537802.62,722474.69,698113.06,788187.06,679149.94,624776.19,568605.88,670020,570424,708128.5,736215.5,716102.5,884519.94,622645.56,693823.06,694653.06,622988.5,584300.69,585955.56,767367.75,524772.31,644687.62,741853,874563.06,860301.44,688975.31,592814.5,819258.44,614534.94,896094,603913.5,798607.31,858788.44,712175,588285.94,855518.44,694779.56,654662.44,877250,761389.19,774207.31,818864.69,602169.69,671467.25,890687.06,752395.25,683474.69,690856,932886.44,544178.94,586445.19,857052.5,855868.81,1051800.62,697076.25,645706.56,784486.06,1032161.69,1011498.19,826464.31,634552.5,678866.75,847052,674583.56,766291.69,782434.75,637742.31,961603.81,786619,1063581,865738.5,599940.81,716982.69,848820.5,535679.19,735717.81
L-LYSINE,6212.08,4003.67,6064.51,4933.91,4652.97,6439.81,4668.73,4036.67,4308.67,5634.08,5552.97,3579.57,5553.29,7359.85,5781.11,5349.19,6102.14,5829.2,4659.27,4903.04,6560.12,3170.78,8147.89,6274.58,3499.65,4705.78,8011.61,3384.99,4270.43,4270.07,8656.97,7104.8,8633.73,5979.23,6171.49,5354.79,4912.3,6806.06,3777.28,6307.42,5879.39,2760.86,4249.44,5673.67,4257.26,5179.51,6381.46,9408.57,10810.38,7302.12,7688.06,4739.88,7864.5,2556.53,4944.15,6216.16,6448.77,6906.15,3101.15,4244.69,8707.28,5600.94,5224.23,5745.62,5627.85,3999.8,3910.52,2715.35,4778.27,2081.2,7463.86,10650.37,10586.29,6320.75,16537.31,4865.36,9089.46,4421.92,5577.22,2737.43
L-ORNITHINE,175887.5,183303.12,161100.23,179165.25,216943.62,162097.44,157918.33,225329.61,182754.12,223493.2,166648.66,117258.71,150747.05,175503.94,148234.67,211423.38,212974.3,170853.69,168660.08,138039.39,124480.09,142001.2,211200.86,170411.92,77195.07,135952.28,202351.8,174126.52,178167.39,149939.56,243174.89,168672.94,319870.62,198678.92,164140.48,199603.31,206827.77,215370.7,134496.89,189713.05,158837.23,176875.17,195520.75,214796.36,160463.83,185226.05,138553.48,298625.88,246624.3,152025.7,158990.25,228415.2,222835.3,91055.44,145964.38,261628.77,248713.77,211287.12,183791.73,186079.92,302716.94,239351.73,250877.98,188444.69,317375.03,174245.95,168024.11,156758.02,278677.53,165392.08,212954.88,265172.22,271223.91,311275.84,263685.59,120725.6,213033.17,181346.98,127638.54,164873.66
L-PROLINE,2969.35,3852.5,3814.55,3570.68,3293.74,2273.77,2157.02,3354.21,3885.79,2387.86,3359.17,5055.87,3647.54,2491.21,2102.17,3280.65,4755.89,4719.74,3170.81,3114.4,2485.02,3678.9,3724.2,4980.62,3635.02,2178.78,5234.65,2348.5,3450.86,3721.47,4768.09,1904.25,3236.89,2897.16,2393.06,2074.08,4831.13,2701.68,3400.07,7147.17,3457.73,2315.99,4906.37,2947.04,2757.04,3894.39,4884.99,5110.67,6096.86,3672.25,3903.68,3545.96,4064.32,2012.42,1634.13,3641.06,3463.49,4428.87,2880.22,4390.71,4194.35,5732.27,4705.54,5409,2841.85,2494.52,3928.42,2473.19,3171.72,2339.36,2358.01,6735.47,7320.95,4660.74,6394.02,3792.15,3412.41,3134.16,2469.51,2615.05
L-SERINE,89018.76,76577.99,64480.2,55313.66,66379.44,82053.75,76908.73,64956.32,61697.86,85289.55,64900.42,59277.33,59166.57,66842.18,59631.05,103881.66,75499.3,69823.31,75546.96,67441.9,55726.89,66933.4,64108.77,56328.14,41478.09,92574.34,89711.79,102375.71,77179.57,83074.96,61282.22,82713.15,97758.96,67223.27,68013.85,86882.53,82603.05,105436.46,67207.63,86327.7,79500.89,56241.39,69265.21,75968.95,98593.88,84944.41,77655.68,107110.3,87942.41,82186.01,116876.71,48896.96,62710.69,44442.93,75882.8,89320.74,98179.12,89754.27,73664.34,63010.94,128096.38,107413.98,119305.55,76967.74,158711.28,66907.41,77033.8,60751.34,76221.07,89249.91,89284.84,96628.66,85727.13,118506.07,86187.49,105507.09,85603.94,72523.02,46804.81,79027.93
L-THREONINE,93942.48,63617.81,99558.84,73477.29,64240.31,105577.9,65569.25,59075.7,102626.35,112799.65,88701.02,55949.23,77076.57,87699.91,69581.82,86559.86,90635.6,103451.4,101047.38,81211.48,44013.44,69872.7,90512.72,79395.52,55492.09,58076.09,104712.9,76881.94,82356.62,74730.98,141364.53,100544.09,119352.16,96901.41,54498.45,80450.66,119464.52,98997.4,76087.84,95154.29,89052.77,72380.31,113986.54,76395.13,92499.3,95436.09,118555.04,131641.23,139548.48,69833.71,159627.06,93528.55,113756.4,52555.8,38319.41,138781.45,88269.06,104709.03,73935.93,87392.72,126629.21,130075.65,99104.79,112951.71,112584.46,97932.88,72817.68,82590.99,102946.38,101830.59,91114.94,151098.86,159063,187969.36,155395.44,71652.66,121370.53,120708.8,61794.38,63372.3
L-TRYPTOPHAN,141788.94,91092.84,78698.87,123150.71,134315.69,113056.68,125970.43,116534.12,116486.04,110705.1,124351.29,89623.24,148850.67,107132.23,103619.6,136157.55,154185.75,165005.69,104891.91,128683.18,101608.85,105599.02,140815.92,126772.09,139363.06,93163.46,158281.83,60920.22,167488.98,111020.3,97120.16,109284.29,137587.14,125533.21,115967.16,121248.88,106631.28,76815.53,115951.34,85251.34,146901.75,123045.48,117919.98,115475.62,112856.79,176917.2,142761.23,128320.16,149486.88,110959.5,140596.64,141362.95,184584.95,108003.84,106397.46,126663.27,109546.54,119650.7,83897.84,69562.05,136555.61,97922.91,136056.08,153515.23,109334.81,110401.03,122062.12,121518.73,115913.44,75823.01,118639.85,211939.52,190181.38,119920.12,209719.58,112597.09,171785.42,142660.77,107936.96,75280.87
L-TYROSINE,362626.59,238437.7,128190.94,260043.98,277535.34,279926.09,163767.33,290393.34,310806.09,243236.69,280829.41,125341.05,283449.97,283036.16,202148.88,219599.86,317623.66,359786.41,299115.5,258866.8,166784.73,296258.66,359507.59,273369.97,212267.05,203176.81,303506.72,162240.91,355558.72,290688.97,211014.31,273436.66,333280.62,279922.53,253309.95,261249.8,278471.09,177493,236863.2,242278.33,248485.8,229897.05,332258.44,274201.19,231248.7,381526.59,314957.41,312548.16,364117,231214.81,306578.62,306737.12,310063.53,187895.17,202702.08,309257.91,206077.8,335602.34,203952.58,158196.3,358384.59,348993.03,310027.53,373750.75,247686.88,244558.27,211811.05,238847.94,274353.97,336486.41,300529.72,452346.66,478196,326071.88,624443.38,278553.28,309731.53,245780.36,239656.08,202955.39
L-VALINE,8583.81,5515.44,7567.44,8657.47,9724,8493.25,8573.86,7277.86,7261.17,7115.21,10547.65,8131.1,13083.21,8067.46,6083.23,7589.16,7587.38,9882.61,7459.19,6058.65,9155.45,10971.31,12260.45,8979.8,7186.66,7590.92,9118.66,7012.49,9014.25,7615.56,13926.37,10127.31,10964.83,11645.45,10546.74,6047.41,7100.52,6504.27,10585.58,8369.89,9608.38,10813.33,10150.7,9574.2,8520.83,9971.81,8471.37,11264.02,10960.18,9317.85,10271.5,11486.24,12821.67,8098.01,6166.92,8334.95,12419.17,9755.06,5305.19,12197.73,14796.92,12491.94,10289.96,8834.18,7710.97,7948.76,9026.66,9524.86,9814.18,7075.79,10574.76,10947.15,15383.23,7951.81,19605.58,9602.05,12975.24,10905.41,10213.3,5823.44
MANNITOL,26416.77,13413.96,26554.9,333829.91,23751.61,75612.06,80500.82,13513.81,142922.69,202608.33,180305.11,41466.96,40677.82,18217.98,7180.35,12190.32,33422.89,37361.22,29223.33,18199.7,66931.62,11387.87,16524.91,25804,21637.39,17861.31,237349.27,6402.58,31650.1,11006.73,77596.4,54606.87,10955.8,16801.29,223791.38,40567.86,15994.7,101447.62,22248.46,14779.82,60835,14330.13,21062.76,13540.44,69808.52,83603.87,33435.62,10081.3,381797.09,25715.83,43478.86,13630.78,37906.71,17346.4,8847.12,12288.27,9138.66,27317.73,41189.5,39419.75,8273.31,18376.21,7165.24,95956.73,25458.06,17995.02,164463.44,30081.33,7509.52,21396.44,37069.63,20337.94,20138.56,22525.91,11197.43,4488.6,14515.79,19826.79,12371.59,9176.91
N6-[DELTA2-ISOPENTENYL]-ADENINE,5992.21,2523.19,17918.9,10915.52,4057.42,6337.92,6381.89,1977.05,7503.67,4249.73,3970.03,7402.74,5532.49,3886.47,2574.2,1715.86,4349.14,4729.23,7127.24,3604.6,2268.33,9800.65,5424.31,8998.91,7041.31,2941.41,2583.83,1723.73,5077.41,2530.73,49106.1,6870.9,3205.67,6729.35,4660,2871.9,6411.62,7320.2,4720.67,8689.25,14712.56,5226.89,8541.75,6530.13,3965.18,3297.74,9950.27,5608.94,6957.21,4574.81,7090.27,11114.02,10201.78,7211.17,3544.63,4966.6,6076.96,7226.9,2560.28,42294.01,7378.42,11564.48,1398.04,10796.07,4602.71,3401.99,3237.91,11074.95,6160.28,3115.75,7069.45,10265.28,20682.91,7248.63,22938.43,11961.71,4510.05,3977.98,2865.99,3174.89
OLEATE,143875.25,184758.8,184105.12,138966.61,127308.52,102043.69,202850.31,93741.2,126833.04,325303.22,198455.44,43670.53,41811.32,234276.05,124226.1,154598.58,22057.8,139396.59,263889.28,208405.8,259021.83,147674.86,263856.31,114368.38,121622.54,377960.38,118398.72,495171,235987.81,165887.7,87080.79,141537.92,89244.52,371246.47,518120.09,126629.77,90955.59,100616.07,263100.69,82515.91,61655.58,185007.25,138678.27,305748.72,235174.39,234586.75,88615.46,120560.59,97318.44,117506.12,185356.08,279987.84,66865.04,131829.2,199564.12,120562.55,136175.5,87341.45,162932.98,80315.59,230652,136514.95,82605.16,105896.75,216207.38,374288.72,109998.74,166193.44,220120.44,124948.18,219191.23,74941.25,190456.88,44498.86,183069.83,360502.66,258229.77,93385.47,325669.75,542406.88
OMEGA-HYDROXYDODECANOIC ACID,98140.6,84486.41,89476.27,83587.19,118418.75,131458.17,171159.55,65794.79,65613.6,95817.27,124827.72,45830.3,46852.09,196316.64,159873.8,142467.92,51685.2,65048.37,158801.14,70747.09,135203.39,142700.89,127309.96,107007.87,82491.18,374993.62,116659.99,148068.52,101586.62,78009.34,32722.92,172545.62,95421.77,130248.12,161296.14,95714.71,89263.2,100512.62,136807.66,76635.23,60773.41,126588.48,118101.28,167544.38,173004.67,175694.69,63724.55,105586.81,54329,81357.07,106123.71,89095.12,58839.11,93306.16,209620.5,176816.14,145321.64,62859.47,80402.59,44174.77,202850.52,131454.3,95618.06,97352.44,145461.39,194394.5,78222.01,109333.79,119965.62,140428.45,97839.09,84471,85012.96,57963.22,129971.27,155350.73,105855.01,95048.84,152705.55,223994.95
